"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","public SpellCheck() {

        root = new Trie();
        // Load vocabulary from vocabulary.txt
        try {
            loadVocabulary(""src/main/resources/vocabulary.txt"");
        } catch (IOException e) {
            e.printStackTrace();
        }
    }","public SpellCheck()","1","Body Change","Changing path for vocabulary.txt
","d08f3ee2cc86b3cfd82bfdd8f20693d80094177a","Mahzabin Chowdhury"
"2","private void loadVocabulary(String filePath) throws IOException
	{
		BufferedReader reader = new BufferedReader(new FileReader(filePath));
		String line;
		while((line = reader.readLine()) != null)
		{
			if(skipWords(line)){
			}
			else{
				line = line.replaceAll(""[^a-zA-Z ]"", """").trim();  // Normalize data
				if (!line.isEmpty()) {
					avlTree.insert(line);
				}
			}
		}
		reader.close();
	}","private void loadVocabulary(String filePath) throws IOException","2","Body Change","Adding doesPrefixExists Method
","c91c8647bdc705396d6bf6ef866d6bd54cf1f277","Mahzabin Chowdhury"
"3","private void loadVocabulary(String filePath) throws IOException
	{
		BufferedReader reader = new BufferedReader(new FileReader(filePath));
		String line;
		while((line = reader.readLine()) != null)
		{
			if(skipWords(line)){
			}
			else{
				line = line.replaceAll(""[^a-zA-Z ]"", """").trim();  // Normalize data
				if (!line.isEmpty()) {
					avlTree.insert(line);
				}
			}
		}
		reader.close();
	}","private void loadVocabulary(String filePath) throws IOException","2","Body Change","Updating Spell Check and Auto Complete feature
","cf330fd8ff465ae1be04b87f547bc0e07dfeabff","Mahzabin Chowdhury"
"4","public boolean doesPrefixExist(String prefix){
		return avlTree.doesPrefixExist(prefix);
	}","public boolean doesPrefixExist(String prefix)","1","Signature Change, Body Change","Adding doesPrefixExists Method
","c91c8647bdc705396d6bf6ef866d6bd54cf1f277","Mahzabin Chowdhury"
"5","public static boolean skipWords(String line){
		for(String skip:stopWordArray){
			if(line.equalsIgnoreCase(skip)){
				return true;
			}
		}
		return false;
	}","public static boolean skipWords(String line)","1","Signature Change, Body Change","Adding doesPrefixExists Method
","c91c8647bdc705396d6bf6ef866d6bd54cf1f277","Mahzabin Chowdhury"
"6","private boolean doesPrefixExist(AVLNode node, String prefix){
        if(node==null){
            return false;
        }
        if(node.word.toLowerCase().startsWith(prefix.toLowerCase())){
            return true;
        }
        return doesPrefixExist(node.left, prefix) || doesPrefixExist(node.right, prefix);

    }","private boolean doesPrefixExist(AVLNode node, String prefix)","2","Signature Change, Body Change","Adding doesPrefixExists Method
","c91c8647bdc705396d6bf6ef866d6bd54cf1f277","Mahzabin Chowdhury"
"7","private boolean doesPrefixExist(AVLNode node, String prefix){
        if(node==null){
            return false;
        }
        if(node.word.toLowerCase().startsWith(prefix.toLowerCase())){
            return true;
        }
        return doesPrefixExist(node.left, prefix) || doesPrefixExist(node.right, prefix);

    }","private boolean doesPrefixExist(AVLNode node, String prefix)","2","Body Change","Updating Spell Check and Auto Complete feature
","cf330fd8ff465ae1be04b87f547bc0e07dfeabff","Mahzabin Chowdhury"
"8","public boolean doesPrefixExist(String prefix){
        return doesPrefixExist(root,prefix);
    }","public boolean doesPrefixExist(String prefix)","1","Signature Change, Body Change","Adding doesPrefixExists Method
","c91c8647bdc705396d6bf6ef866d6bd54cf1f277","Mahzabin Chowdhury"
"9","public static boolean isWordOnly(String input) {
        return input.matches(""[a-zA-Z\\s]+""); // Matches only letters and spaces
    }","public static boolean isWordOnly(String input)","1","Signature Change, Body Change","Final Validation
","6b7efee1e50f87e0f8e8061454ed8f5900ef3eaa","sag7ai"
"10","public static String getWordOnlyInput(Scanner scanner, String message) {
        while (true) {
            System.out.print(message);
            String input = scanner.nextLine().trim();

            if (isWordOnly(input)) {
                return input; // Return valid input
            } else {
                System.out.println(""Invalid input. Please enter valid words."");
            }
        }
    }","public static String getWordOnlyInput(Scanner scanner, String message)","1","Signature Change, Body Change","Final Validation
","6b7efee1e50f87e0f8e8061454ed8f5900ef3eaa","sag7ai"
