"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","execute","execute","2","Body Change, Exceptions Change, MultiChange","Merge pull request #73

Conflicts:
	args4j/src/org/kohsuke/args4j/CmdLineParser.java
","da7de2b8b1be12fb646997b97d2deec63eaa4c0b","Kohsuke Kawaguchi"
"2","execute","execute","2","Body Change, Exceptions Change, MultiChange","What appears to be a left-over from debugging
","badf5ed98a73d211f37b5225ae6658dd80945eb4","Kohsuke Kawaguchi"
"3","generateUsage","generateUsage","2","Exceptions Change","Merge pull request #73

Conflicts:
	args4j/src/org/kohsuke/args4j/CmdLineParser.java
","da7de2b8b1be12fb646997b97d2deec63eaa4c0b","Kohsuke Kawaguchi"
"4","generateUsage","generateUsage","2","Body Change, Exceptions Change, MultiChange","Replaced with maven assembly plugin
","cb80b812586e81d0307b191be226df28f4c7baa9","Kohsuke Kawaguchi"
"5","XmlWriter","XmlWriter","1","Body Change, Introduced, MultiChange","Merge branch 'pull-64'
","d42aabb6cf82e4aec1f48d5170efd231c9597c1f","Kohsuke Kawaguchi"
"6","onOption","onOption","1","Body Change","Merge branch 'pull-1'

Conflicts:
	.gitignore
	pom.xml
","790b331409bbd44e6a295de466b2344232066d4b","Kohsuke Kawaguchi"
"7","run","run","3","Body Change, Exceptions Change, MultiChange","print help screen if no option is given
","80aa7a1686e045e8b2b3684b5e14b4a2477e2407","kohsuke"
"8","run","run","3","Body Change, Exceptions Change, MultiChange","bug fixes
","aceb12b6d77a348678662235f638dbca7906d161","kohsuke"
"9","run","run","3","Body Change, Exceptions Change, MultiChange","Merge branch 'pull-64'
","d42aabb6cf82e4aec1f48d5170efd231c9597c1f","Kohsuke Kawaguchi"
"10","printUsage","printUsage","1","Body Change","print help screen if no option is given
","80aa7a1686e045e8b2b3684b5e14b4a2477e2407","kohsuke"
"11","onOption","onOption","1","Modifier Change, Body Change, MultiChange","Merge branch 'pull-1'

Conflicts:
	.gitignore
	pom.xml
","790b331409bbd44e6a295de466b2344232066d4b","Kohsuke Kawaguchi"
"12","onOption","onOption","1","-","Merge branch 'pull-1'

Conflicts:
	.gitignore
	pom.xml
","790b331409bbd44e6a295de466b2344232066d4b","Kohsuke Kawaguchi"
"13","onOption","onOption","1","Body Change","Merge branch 'pull-1'

Conflicts:
	.gitignore
	pom.xml
","790b331409bbd44e6a295de466b2344232066d4b","Kohsuke Kawaguchi"
"14","getTestObject","getTestObject","1","Return Type Change","- implemented the stop option ""--"".
- added a test case for it.
- modified to use generics to avoid casting in test case.
","fa1c0a620764bd15f5f69faf56e4907235490000","kohsuke"
"15","setArgs","setArgs","1","Body Change, Introduced, MultiChange","Convenience method for setting the args of the parser.
","935f709e86b71c41484c1d96b1fe9dc16f4827dd","jhm"
"16","setUp","setUp","4","Exceptions Change","Check the usage messages.
","e55cce0b5604bdb5668305d25fe7908c80f90a57","jhm"
"17","setUp","setUp","4","Body Change, Exceptions Change, MultiChange","When using (and having now) localized resource bundles, we have to use the right one during tests. So for tests use the US one.
","45c10480ec217f1a10004e022840a7ef94765c06","jhm"
"18","setUp","setUp","4","Exceptions Change","- The point of exposing CmdLineParser.addOption and addArgument is to open up metadata parsing to the caller. So in that spirit, there's no need for CmdLineParser to sniff the incoming bean for how to read metadata. It's best to leave that to the caller.
- MetadataParser was concurrent unsafe, as the clone doesn't clone parsers themselves.
- Moved Setter to SPI, since it's irrelevant for casual users.
","15aa33b42db7398fec119fa52ce2d749c162cad3","kohsuke"
"19","setUp","setUp","4","Body Change, Exceptions Change, MultiChange","CmdLineException separates message vs localized message now, so no need to mess with locales
","0385d7fbcd2c243129c74ad6f789fdaec8accbf0","Kohsuke Kawaguchi"
"20","createParser","createParser","2","File Renamed","Check the usage messages.
","e55cce0b5604bdb5668305d25fe7908c80f90a57","jhm"
