"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","cannotBeStatic","@Test
  public void cannotBeStatic()","0","-","-","-","-"
"2","mustReturnString","@Test
  public void mustReturnString()","0","-","-","-","-"
"3","noParameters","@Test
  public void noParameters()","0","-","-","-","-"
"4","onlyOneToPrettyStringMethod_sameClass","@Test
  public void onlyOneToPrettyStringMethod_sameClass()","0","-","-","-","-"
"5","onlyOneToPrettyStringMethod_superclass","@Test
  public void onlyOneToPrettyStringMethod_superclass()","0","-","-","-","-"
"6","onlyOneToPrettyStringMethod_superinterface","@Test
  public void onlyOneToPrettyStringMethod_superinterface()","0","-","-","-","-"
"7","compile","private static Compilation compile(JavaFileObject... javaFileObjects)","0","-","-","-","-"
"8","error","private static String error(String... lines)","0","-","-","-","-"
"9","i","abstract int i();","0","-","-","-","-"
"10","l","abstract long l();","0","-","-","-","-"
"11","b","abstract byte b();","0","-","-","-","-"
"12","s","abstract short s();","0","-","-","-","-"
"13","c","abstract char c();","0","-","-","-","-"
"14","f","abstract float f();","0","-","-","-","-"
"15","d","abstract double d();","0","-","-","-","-"
"16","bool","abstract boolean bool();","0","-","-","-","-"
"17","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"18","primitives","@Test
  public void primitives()","0","-","-","-","-"
"19","longs","@Nullable
    @SuppressWarnings(""mutable"")
    abstract long[] longs();","0","-","-","-","-"
"20","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"21","primitiveArray","@Test
  public void primitiveArray()","0","-","-","-","-"
"22","primitiveArray_empty","@Test
  public void primitiveArray_empty()","0","-","-","-","-"
"23","primitiveArray_null","@Test
  public void primitiveArray_null()","0","-","-","-","-"
"24","collection","@Nullable
    abstract Collection<Object> collection();","0","-","-","-","-"
"25","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"26","prettyCollection","@Test
  public void prettyCollection()","0","-","-","-","-"
"27","prettyCollection_elementsWithNewlines","@Test
  public void prettyCollection_elementsWithNewlines()","0","-","-","-","-"
"28","prettyCollection_empty","@Test
  public void prettyCollection_empty()","0","-","-","-","-"
"29","prettyCollection_null","@Test
  public void prettyCollection_null()","0","-","-","-","-"
"30","nestedCollection","@Nullable
    abstract Collection<Collection<Object>> nestedCollection();","0","-","-","-","-"
"31","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"32","nestedCollection","@Test
  public void nestedCollection()","0","-","-","-","-"
"33","nestedCollection_elementsWithNewlines","@Test
  public void nestedCollection_elementsWithNewlines()","0","-","-","-","-"
"34","nestedCollection_empty","@Test
  public void nestedCollection_empty()","0","-","-","-","-"
"35","nestedCollection_nestedEmpty","@Test
  public void nestedCollection_nestedEmpty()","0","-","-","-","-"
"36","nestedCollection_null","@Test
  public void nestedCollection_null()","0","-","-","-","-"
"37","immutableIntArray","@Nullable
    abstract ImmutableIntArray immutableIntArray();","0","-","-","-","-"
"38","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"39","immutablePrimitiveArray","@Test
  public void immutablePrimitiveArray()","0","-","-","-","-"
"40","immutablePrimitiveArray_empty","@Test
  public void immutablePrimitiveArray_empty()","0","-","-","-","-"
"41","immutablePrimitiveArray_null","@Test
  public void immutablePrimitiveArray_null()","0","-","-","-","-"
"42","map","@Nullable
    abstract Map<Object, Object> map();","0","-","-","-","-"
"43","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"44","prettyMap","@Test
  public void prettyMap()","0","-","-","-","-"
"45","prettyMap_keysAndValuesWithNewlines","@Test
  public void prettyMap_keysAndValuesWithNewlines()","0","-","-","-","-"
"46","prettyMap_empty","@Test
  public void prettyMap_empty()","0","-","-","-","-"
"47","prettyMap_null","@Test
  public void prettyMap_null()","0","-","-","-","-"
"48","mapOfMaps","@Nullable
    abstract Map<Map<Object, Object>, Map<Object, Object>> mapOfMaps();","0","-","-","-","-"
"49","toPrettyString","@ToPrettyString
    abstract String toPrettyString();","0","-","-","-","-"
"50","mapWithNulls","private static <K, V> Map<K, V> mapWithNulls(K k, V v)","0","-","-","-","-"
"51","mapOfMaps","@Test
  public void mapOfMaps()","0","-","-","-","-"
"52","mapOfMaps_elementsWithNewlines","@Test
  public void mapOfMaps_elementsWithNewlines()","0","-","-","-","-"
"53","mapOfMaps_empty","@Test
  public void mapOfMaps_empty()","0","-","-","-","-"
"54","mapOfMaps_nestedEmpty","@Test
  public void mapOfMaps_nestedEmpty()","0","-","-","-","-"
"55","mapOfMaps_null","@Test
  public void mapOfMaps_null()","0","-","-","-","-"
"56","multimap","@Nullable
    abstract Multimap<Object, Object> multimap();","0","-","-","-","-"
