"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","selectEnvironments","selectEnvironments","1","Body Change, Exceptions Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"2","createDynamicTests","createDynamicTests","1","Body Change, Exceptions Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"3","createDynamicTest","createDynamicTest","1","Body Change, Exceptions Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"4","doCreateDynamicTest","doCreateDynamicTest","2","Body Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"5","doCreateDynamicTest","doCreateDynamicTest","2","Body Change","Merge branch 'reid_icse2021' of github.com:ataraxie/codeshovel into reid_icse2021
","55732726993bdd946183208efceec895bf04172b","reid holmes"
"6","performComparison","performComparison","1","Body Change, Exceptions Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"7","runEnvironment","runEnvironment","1","Body Change, Exceptions Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"8","compareResults","compareResults","2","Body Change, Introduced, MultiChange","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"9","compareResults","compareResults","2","Body Change","Merge branch 'reid_icse2021' of github.com:ataraxie/codeshovel into reid_icse2021
","55732726993bdd946183208efceec895bf04172b","reid holmes"
"10","main","main","2","Body Change, Exceptions Change, Introduced, MultiChange","(MAJOR) renamed codestory globally to codeshovel
","9abb76f1f79950d307b62523fd1d62343a358558","Felix Grund"
"11","main","main","2","Body Change, Exceptions Change, MultiChange","Fixed heap space issue in mining executions
","640af9b185af89ea568d3201f9f7a932c457f694","Felix Grund"
"12","doIt","doIt","3","Body Change, Exceptions Change, MultiChange","see #47 improve messages in thresholdrunner
","cbce007f93b6b15d6e7791d869bbaa4849c9e328","Reid Holmes"
"13","doIt","doIt","3","Body Change, Exceptions Change, MultiChange","see #47 Intermediate changes while simplifying the algorithim. (This will be a messy commit because a lot of in-progress work was rolled back). 189/200
","934f4e5da70c622d6be56ce309c87853fda3c003","Reid Holmes"
"14","doIt","doIt","3","Body Change, Exceptions Change, MultiChange","see #47 more simplification in abstract parser
","f80dc6f58b56d8d9d495cffa0b094b9136bf794b","Reid Holmes"
"15","evaluateConfig","evaluateConfig","2","Body Change, Exceptions Change, MultiChange","see #47 improve messages in thresholdrunner
","cbce007f93b6b15d6e7791d869bbaa4849c9e328","Reid Holmes"
"16","evaluateConfig","evaluateConfig","2","Body Change, Exceptions Change, MultiChange","see #47 Intermediate changes while simplifying the algorithim. (This will be a messy commit because a lot of in-progress work was rolled back). 189/200
","934f4e5da70c622d6be56ce309c87853fda3c003","Reid Holmes"
