"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","onAttach","@Override
  public void onAttach(Context context)","0","-","-","-","-"
"2","androidInjector","@Override
  public AndroidInjector<Object> androidInjector()","0","-","-","-","-"
"3","DispatchingAndroidInjector","@Inject
  DispatchingAndroidInjector(
      Map<Class<?>, Provider<AndroidInjector.Factory<?>>> injectorFactoriesWithClassKeys,
      Map<String, Provider<AndroidInjector.Factory<?>>> injectorFactoriesWithStringKeys)","0","-","-","-","-"
"4","merge","/**
   * Merges the two maps into one by transforming the values of the","0","-","-","-","-"
"5","maybeInject","/**
   * Attempts to perform members-injection on","0","-","-","-","-"
"6","inject","/**
   * Performs members-injection on","0","-","-","-","-"
"7","InvalidInjectorBindingException","InvalidInjectorBindingException(String message, ClassCastException cause)","0","-","-","-","-"
"8","errorMessageSuggestions","/** Returns an error message with the class names that are supertypes of","0","-","-","-","-"
"9","onCreate","@CallSuper
  @Override
  public boolean onCreate()","0","-","-","-","-"
"10","of","/**
   * Accepts the fully qualified name of a class that is injected with","0","-","-","-","-"
"11","AndroidInjectionKeys","private AndroidInjectionKeys()","0","-","-","-","-"
"12","inject","/** Injects the members of","0","-","-","-","-"
"13","create","/**
     * Creates an","0","-","-","-","-"
"14","create","@Override
    public final AndroidInjector<T> create(T instance)","0","-","-","-","-"
"15","seedInstance","/**
     * Provides","0","-","-","-","-"
"16","build","/** Returns a newly-constructed","0","-","-","-","-"
"17","onCreate","@Override
  protected void onCreate(@Nullable Bundle savedInstanceState)","0","-","-","-","-"
"18","androidInjector","@Override
  public AndroidInjector<Object> androidInjector()","0","-","-","-","-"
"19","onAttach","@Override
  public void onAttach(Context context)","0","-","-","-","-"
"20","androidInjector","@Override
  public AndroidInjector<Object> androidInjector()","0","-","-","-","-"
"21","onCreate","@Override
  public void onCreate()","0","-","-","-","-"
"22","applicationInjector","/**
   * Implementations should return an","0","-","-","-","-"
"23","injectIfNecessary","/**
   * Lazily injects the","0","-","-","-","-"
"24","androidInjector","@Override
  public AndroidInjector<Object> androidInjector()","0","-","-","-","-"
"25","onReceive","@CallSuper
  @Override
  public void onReceive(Context context, Intent intent)","0","-","-","-","-"
"26","DaggerIntentService","public DaggerIntentService(String name)","0","-","-","-","-"
"27","onCreate","@Override
  public void onCreate()","0","-","-","-","-"
"28","onCreate","@Override
  public void onCreate()","0","-","-","-","-"
"29","inject","/**
   * Injects","0","-","-","-","-"
"30","inject","/**
   * Injects","0","-","-","-","-"
"31","findHasAndroidInjectorForFragment","private static HasAndroidInjector findHasAndroidInjectorForFragment(Fragment fragment)","0","-","-","-","-"
"32","inject","/**
   * Injects","0","-","-","-","-"
"33","inject","/**
   * Injects","0","-","-","-","-"
"34","inject","/**
   * Injects","0","-","-","-","-"
"35","inject","private static void inject(Object target, HasAndroidInjector hasAndroidInjector)","0","-","-","-","-"
"36","AndroidInjection","private AndroidInjection()","0","-","-","-","-"
"37","androidInjector","/** Returns an","0","-","-","-","-"
"38","classKeyedInjectorFactories","@Multibinds
  abstract Map<Class<?>, AndroidInjector.Factory<?>> classKeyedInjectorFactories();","0","-","-","-","-"
"39","stringKeyedInjectorFactories","@Multibinds
  abstract Map<String, AndroidInjector.Factory<?>> stringKeyedInjectorFactories();","0","-","-","-","-"
"40","AndroidInjectionModule","private AndroidInjectionModule()","0","-","-","-","-"
"41","assertThat","/** Starts a fluent assertion about a","0","-","-","-","-"
"42","BindingGraphSubject","private BindingGraphSubject(FailureMetadata metadata, @NullableDecl BindingGraph actual)","0","-","-","-","-"
"43","hasBindingWithKey","/**
   * Asserts that the graph has at least one binding with an unqualified key.
   *
   * @param type the canonical name of the type, as returned by","0","-","-","-","-"
"44","hasBindingWithKey","/**
   * Asserts that the graph has at least one binding with a qualified key.
   *
   * @param qualifier the canonical string form of the qualifier, as returned by","0","-","-","-","-"
"45","bindingWithKey","/**
   * Returns a subject for testing the binding for an unqualified key.
   *
   * @param type the canonical name of the type, as returned by","0","-","-","-","-"
"46","bindingWithKey","/**
   * Returns a subject for testing the binding for a qualified key.
   *
   * @param qualifier the canonical string form of the qualifier, as returned by","0","-","-","-","-"
"47","bindingWithKeyString","private BindingSubject bindingWithKeyString(String keyString)","0","-","-","-","-"
"48","getBindingNodes","private ImmutableSet<Binding> getBindingNodes(String keyString)","0","-","-","-","-"
"49","keyString","public static String keyString(Binding binding)","0","-","-","-","-"
"50","keyString","private static String keyString(String qualifier, String type)","0","-","-","-","-"
"51","formattedType","private static String formattedType(DaggerType type)","0","-","-","-","-"
"52","BindingSubject","BindingSubject(FailureMetadata metadata, @NullableDecl Binding actual)","0","-","-","-","-"
"53","dependsOnBindingWithKey","/**
     * Asserts that the binding depends on a binding with an unqualified key.
     *
     * @param type the canonical name of the type, as returned by","0","-","-","-","-"
"54","dependsOnBindingWithKey","/**
     * Asserts that the binding depends on a binding with a qualified key.
     *
     * @param qualifier the canonical string form of the qualifier, as returned by","0","-","-","-","-"
"55","dependsOnBindingWithKeyString","private void dependsOnBindingWithKeyString(String keyString)","0","-","-","-","-"
"56","actualBindingGraph","private BindingGraph actualBindingGraph()","0","-","-","-","-"
"57","assertThat","/** Starts a fluent assertion about a","0","-","-","-","-"
"58","BindingGraphSubject","private BindingGraphSubject(FailureMetadata metadata, @NullableDecl BindingGraph actual)","0","-","-","-","-"
"59","hasBindingWithKey","/**
   * Asserts that the graph has at least one binding with an unqualified key.
   *
   * @param type the canonical name of the type, as returned by","0","-","-","-","-"
