"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","principalEntityWithoutAuth","@GET
    @Path(""json-principal-entity"")
    public String principalEntityWithoutAuth(@Auth JsonPrincipal principal)","0","-","-","-","-"
"2","principalEntityWithoutAuth","@GET
    @Path(""null-principal-entity"")
    public String principalEntityWithoutAuth(@Auth NullPrincipal principal)","0","-","-","-","-"
"3","checkOptionalAuth","@GET
    @Path(""optional"")
    public String checkOptionalAuth(@Auth Optional<NullPrincipal> principalOpt)","0","-","-","-","-"
"4","principalEntityWithoutAuth","/**
     * Principal instance must be injected even when no authentication is required.
     */
    @POST
    @Path(""principal-entity"")
    public String principalEntityWithoutAuth(JsonPrincipal principal)","0","-","-","-","-"
"5","annotatedPrincipalEntityWithoutAuth","/**
     * Annotated principal instance must be injected even when no authentication is required.
     */
    @POST
    @Path(""annotated-principal-entity"")
    public String annotatedPrincipalEntityWithoutAuth(@DummyAnnotation JsonPrincipal principal)","0","-","-","-","-"
"6","principalEntityWithoutAuth","/**
     * Principal instance must be injected even when no authentication is required.
     */
    @POST
    @Path(""json-principal-entity"")
    public String principalEntityWithoutAuth(JsonPrincipal principal)","0","-","-","-","-"
"7","principalEntityWithoutAuth","/**
     * Principal instance must be injected even when no authentication is required.
     */
    @POST
    @Path(""null-principal-entity"")
    public String principalEntityWithoutAuth(NullPrincipal principal)","0","-","-","-","-"
"8","annotatedPrincipalEntityWithoutAuth","/**
     * Annotated principal instance must be injected even when no authentication is required.
     */
    @POST
    @Path(""annotated-json-principal-entity"")
    public String annotatedPrincipalEntityWithoutAuth(@DummyAnnotation JsonPrincipal principal)","0","-","-","-","-"
"9","annotatedPrincipalEntityWithoutAuth","/**
     * Annotated principal instance must be injected even when no authentication is required.
     */
    @POST
    @Path(""annotated-null-principal-entity"")
    public String annotatedPrincipalEntityWithoutAuth(@DummyAnnotation NullPrincipal principal)","0","-","-","-","-"
"10","setUp","@Override
    @BeforeEach
    public void setUp() throws Exception","0","-","-","-","-"
"11","tearDown","@Override
    @AfterEach
    public void tearDown() throws Exception","0","-","-","-","-"
"12","configureDeployment","@Override
    protected DeploymentContext configureDeployment()","0","-","-","-","-"
"13","NoAuthPolymorphicPrincipalInjectedResourceConfig","public NoAuthPolymorphicPrincipalInjectedResourceConfig()","0","-","-","-","-"
"14","getPrincipalClass","@Override protected Class<? extends Principal> getPrincipalClass()","0","-","-","-","-"
"15","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"16","getAuthBinder","@Override protected AbstractBinder getAuthBinder()","0","-","-","-","-"
"17","getAuthDynamicFeature","@Override protected DynamicFeature getAuthDynamicFeature(ContainerRequestFilter authFilter)","0","-","-","-","-"
"18","jsonPrincipalEntityResourceWithoutAuth200","@Test
    void jsonPrincipalEntityResourceWithoutAuth200()","0","-","-","-","-"
"19","nullPrincipalEntityResourceWithoutAuth200","@Test
    void nullPrincipalEntityResourceWithoutAuth200()","0","-","-","-","-"
"20","annotatedJsonPrincipalEntityResourceWithoutAuth200","/**
     * When parameter is annotated then Jersey classifies such
     * parameter as","0","-","-","-","-"
"21","annotatedNullPrincipalEntityResourceWithoutAuth200","@Test
    void annotatedNullPrincipalEntityResourceWithoutAuth200()","0","-","-","-","-"
"22","NullPrincipal","public NullPrincipal()","0","-","-","-","-"
"23","JsonPrincipal","@JsonCreator
    public JsonPrincipal(@JsonProperty(""name"") String name)","0","-","-","-","-"
"24","setUp","@Override
    @BeforeEach
    public void setUp() throws Exception","0","-","-","-","-"
"25","tearDown","@Override
    @AfterEach
    public void tearDown() throws Exception","0","-","-","-","-"
"26","configureDeployment","@Override
    protected DeploymentContext configureDeployment()","0","-","-","-","-"
"27","PolymorphicPrincipalInjectedResourceConfig","public PolymorphicPrincipalInjectedResourceConfig()","0","-","-","-","-"
"28","getPrincipalClass","@Override protected Class<? extends Principal> getPrincipalClass()","0","-","-","-","-"
"29","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"30","getAuthBinder","@Override protected AbstractBinder getAuthBinder()","0","-","-","-","-"
"31","getAuthDynamicFeature","@Override protected DynamicFeature getAuthDynamicFeature(ContainerRequestFilter authFilter)","0","-","-","-","-"
"32","jsonPrincipalEntityResourceAuth200","@Test
    void jsonPrincipalEntityResourceAuth200()","0","-","-","-","-"
"33","jsonPrincipalEntityResourceNoAuth401","@Test
    void jsonPrincipalEntityResourceNoAuth401()","0","-","-","-","-"
"34","nullPrincipalEntityResourceAuth200","@Test
    void nullPrincipalEntityResourceAuth200()","0","-","-","-","-"
"35","nullPrincipalEntityResourceNoAuth401","@Test
    void nullPrincipalEntityResourceNoAuth401()","0","-","-","-","-"
"36","resourceWithValidOptionalAuthentication200","@Test
    void resourceWithValidOptionalAuthentication200()","0","-","-","-","-"
"37","resourceWithInvalidOptionalAuthentication200","@Test
    void resourceWithInvalidOptionalAuthentication200()","0","-","-","-","-"
"38","resourceWithoutOptionalAuthentication200","@Test
    void resourceWithoutOptionalAuthentication200()","0","-","-","-","-"
"39","resourceWithDifferentOptionalAuthentication200","@Test
    void resourceWithDifferentOptionalAuthentication200()","0","-","-","-","-"
"40","setUp","@Override
    @BeforeEach
    public void setUp() throws Exception","0","-","-","-","-"
"41","tearDown","@Override
    @AfterEach
    public void tearDown() throws Exception","0","-","-","-","-"
"42","configureDeployment","@Override
    protected DeploymentContext configureDeployment()","0","-","-","-","-"
"43","NoAuthPrincipalInjectedResourceConfig","public NoAuthPrincipalInjectedResourceConfig()","0","-","-","-","-"
"44","getPrincipalClass","@Override protected Class<? extends Principal> getPrincipalClass()","0","-","-","-","-"
"45","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"46","getAuthBinder","@Override protected AbstractBinder getAuthBinder()","0","-","-","-","-"
"47","getAuthDynamicFeature","@Override protected DynamicFeature getAuthDynamicFeature(ContainerRequestFilter authFilter)","0","-","-","-","-"
"48","principalEntityResourceWithoutAuth200","@Test
    void principalEntityResourceWithoutAuth200()","0","-","-","-","-"
"49","annotatedPrincipalEntityResourceWithoutAuth200","/**
     * When parameter is annotated then Jersey classifies such parameter as
     *","0","-","-","-","-"
"50","filter","@Override
        public void filter(ContainerRequestContext requestContext) throws IOException","0","-","-","-","-"
"51","getUserPrincipal","@Override
                    public Principal getUserPrincipal()","0","-","-","-","-"
"52","isUserInRole","@Override
                    public boolean isUserInRole(String role)","0","-","-","-","-"
"53","isSecure","@Override
                    public boolean isSecure()","0","-","-","-","-"
"54","getAuthenticationScheme","@Override
                    public String getAuthenticationScheme()","0","-","-","-","-"
"55","InjectionResourceConfig","public InjectionResourceConfig()","0","-","-","-","-"
"56","getAuthFilter","@Override
        protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"57","configureDeployment","@Override
    protected DeploymentContext configureDeployment()","0","-","-","-","-"
"58","testInjectionSupport","@Test
    void testInjectionSupport()","0","-","-","-","-"
"59","OAuthTestResourceConfig","public OAuthTestResourceConfig()","0","-","-","-","-"
"60","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"61","getDropwizardResourceConfig","@Override
    protected DropwizardResourceConfig getDropwizardResourceConfig()","0","-","-","-","-"
"62","getDropwizardResourceConfigClass","@Override
    protected Class<OAuthTestResourceConfig> getDropwizardResourceConfigClass()","0","-","-","-","-"
"63","getPrefix","@Override
    protected String getPrefix()","0","-","-","-","-"
"64","getOrdinaryGuyValidToken","@Override
    protected String getOrdinaryGuyValidToken()","0","-","-","-","-"
"65","getGoodGuyValidToken","@Override
    protected String getGoodGuyValidToken()","0","-","-","-","-"
"66","getBadGuyToken","@Override
    protected String getBadGuyToken()","0","-","-","-","-"
"67","OAuthTestResourceConfig","public OAuthTestResourceConfig()","0","-","-","-","-"
"68","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"69","checksQueryStringAccessTokenIfAuthorizationHeaderMissing","@Test
    void checksQueryStringAccessTokenIfAuthorizationHeaderMissing()","0","-","-","-","-"
"70","getDropwizardResourceConfig","@Override
    protected DropwizardResourceConfig getDropwizardResourceConfig()","0","-","-","-","-"
"71","getDropwizardResourceConfigClass","@Override
    protected Class<OAuthTestResourceConfig> getDropwizardResourceConfigClass()","0","-","-","-","-"
"72","getPrefix","@Override
    protected String getPrefix()","0","-","-","-","-"
"73","getOrdinaryGuyValidToken","@Override
    protected String getOrdinaryGuyValidToken()","0","-","-","-","-"
"74","getGoodGuyValidToken","@Override
    protected String getGoodGuyValidToken()","0","-","-","-","-"
"75","getBadGuyToken","@Override
    protected String getBadGuyToken()","0","-","-","-","-"
"76","authenticate","@Override
        public Optional<Principal> authenticate(String credentials) throws AuthenticationException","0","-","-","-","-"
"77","authorize","@Override
        public boolean authorize(Principal principal, String role, @Nullable ContainerRequestContext requestContext)","0","-","-","-","-"
"78","TestInjectableAuthFilter","public TestInjectableAuthFilter()","0","-","-","-","-"
"79","filter","@Override
        public void filter(ContainerRequestContext requestContext) throws IOException","0","-","-","-","-"
"80","InjectionResourceConfig","public InjectionResourceConfig()","0","-","-","-","-"
"81","getAuthFilter","@Override
        protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"82","configureDeployment","@Override
    protected DeploymentContext configureDeployment()","0","-","-","-","-"
"83","testInjectionSupport","@Test
    void testInjectionSupport()","0","-","-","-","-"
"84","getBasicAuthenticator","public static Authenticator<BasicCredentials, Principal> getBasicAuthenticator(final List<String> validUsers)","0","-","-","-","-"
"85","getSingleUserOAuthAuthenticator","public static Authenticator<String, Principal> getSingleUserOAuthAuthenticator(final String presented,
                                                                                   final String returned)","0","-","-","-","-"
"86","getMultiplyUsersOAuthAuthenticator","public static Authenticator<String, Principal> getMultiplyUsersOAuthAuthenticator(final List<String> validUsers)","0","-","-","-","-"
"87","getTestAuthorizer","public static Authorizer<Principal> getTestAuthorizer(final String validUser,
                                                          final String validRole)","0","-","-","-","-"
"88","setUp","@BeforeEach
    void setUp() throws Exception","0","-","-","-","-"
"89","cachesTheFirstReturnedPrincipal","@Test
    void cachesTheFirstReturnedPrincipal() throws Exception","0","-","-","-","-"
"90","invalidatesSingleCredentials","@Test
    void invalidatesSingleCredentials() throws Exception","0","-","-","-","-"
"91","invalidatesSetsOfCredentials","@Test
    void invalidatesSetsOfCredentials() throws Exception","0","-","-","-","-"
"92","invalidatesCredentialsMatchingGivenPredicate","@Test
    void invalidatesCredentialsMatchingGivenPredicate() throws Exception","0","-","-","-","-"
"93","invalidatesAllCredentials","@Test
    void invalidatesAllCredentials() throws Exception","0","-","-","-","-"
"94","calculatesTheSizeOfTheCache","@Test
    void calculatesTheSizeOfTheCache() throws Exception","0","-","-","-","-"
"95","calculatesCacheStats","@Test
    void calculatesCacheStats() throws Exception","0","-","-","-","-"
"96","shouldNotCacheAbsentPrincipals","@Test
    void shouldNotCacheAbsentPrincipals() throws Exception","0","-","-","-","-"
"97","shouldPropagateAuthenticationException","@Test
    void shouldPropagateAuthenticationException() throws AuthenticationException","0","-","-","-","-"
"98","shouldPropagateRuntimeException","@Test
    void shouldPropagateRuntimeException() throws AuthenticationException","0","-","-","-","-"
"99","cachesTheNegativeResultIfSpecified","@Test
    void cachesTheNegativeResultIfSpecified() throws Exception","0","-","-","-","-"
"100","isSecureShouldStayTheSame","@Test
    void isSecureShouldStayTheSame()","0","-","-","-","-"
"101","SimpleAuthFilter","SimpleAuthFilter()","0","-","-","-","-"
"102","filter","@Override
        public void filter(ContainerRequestContext requestContext)","0","-","-","-","-"
"103","FakeSecureRequestContext","FakeSecureRequestContext()","0","-","-","-","-"
"104","getSecurityContext","@Override
        public SecurityContext getSecurityContext()","0","-","-","-","-"
"105","setSecurityContext","@Override
        public void setSecurityContext(SecurityContext context)","0","-","-","-","-"
"106","getProperty","@Override
        public Object getProperty(String name)","0","-","-","-","-"
"107","getPropertyNames","@Override
        public Collection<String> getPropertyNames()","0","-","-","-","-"
"108","setProperty","@Override
        public void setProperty(String name, Object object)","0","-","-","-","-"
"109","removeProperty","@Override
        public void removeProperty(String name)","0","-","-","-","-"
"110","getUriInfo","@Override
        public UriInfo getUriInfo()","0","-","-","-","-"
"111","setRequestUri","@Override
        public void setRequestUri(URI requestUri)","0","-","-","-","-"
"112","setRequestUri","@Override
        public void setRequestUri(URI baseUri, URI requestUri)","0","-","-","-","-"
"113","getRequest","@Override
        public Request getRequest()","0","-","-","-","-"
"114","getMethod","@Override
        public String getMethod()","0","-","-","-","-"
"115","setMethod","@Override
        public void setMethod(String method)","0","-","-","-","-"
"116","getHeaders","@Override
        public MultivaluedMap<String, String> getHeaders()","0","-","-","-","-"
"117","getHeaderString","@Override
        public String getHeaderString(String name)","0","-","-","-","-"
"118","getDate","@Override
        public Date getDate()","0","-","-","-","-"
"119","getLanguage","@Override
        public Locale getLanguage()","0","-","-","-","-"
"120","getLength","@Override
        public int getLength()","0","-","-","-","-"
"121","getMediaType","@Override
        public MediaType getMediaType()","0","-","-","-","-"
"122","getAcceptableMediaTypes","@Override
        public List<MediaType> getAcceptableMediaTypes()","0","-","-","-","-"
"123","getAcceptableLanguages","@Override
        public List<Locale> getAcceptableLanguages()","0","-","-","-","-"
"124","getCookies","@Override
        public Map<String, Cookie> getCookies()","0","-","-","-","-"
"125","hasEntity","@Override
        public boolean hasEntity()","0","-","-","-","-"
"126","getEntityStream","@Override
        public InputStream getEntityStream()","0","-","-","-","-"
"127","setEntityStream","@Override
        public void setEntityStream(InputStream input)","0","-","-","-","-"
"128","abortWith","@Override
        public void abortWith(Response response)","0","-","-","-","-"
"129","BasicAuthTestResourceConfig","public BasicAuthTestResourceConfig()","0","-","-","-","-"
"130","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"131","getDropwizardResourceConfig","@Override
    protected DropwizardResourceConfig getDropwizardResourceConfig()","0","-","-","-","-"
"132","getDropwizardResourceConfigClass","@Override
    protected Class<BasicAuthTestResourceConfig> getDropwizardResourceConfigClass()","0","-","-","-","-"
"133","getPrefix","@Override
    protected String getPrefix()","0","-","-","-","-"
"134","getOrdinaryGuyValidToken","@Override
    protected String getOrdinaryGuyValidToken()","0","-","-","-","-"
"135","getGoodGuyValidToken","@Override
    protected String getGoodGuyValidToken()","0","-","-","-","-"
"136","getBadGuyToken","@Override
    protected String getBadGuyToken()","0","-","-","-","-"
"137","BasicAuthTestResourceConfig","public BasicAuthTestResourceConfig()","0","-","-","-","-"
"138","getAuthFilter","@Override protected ContainerRequestFilter getAuthFilter()","0","-","-","-","-"
"139","getDropwizardResourceConfig","@Override
    protected DropwizardResourceConfig getDropwizardResourceConfig()","0","-","-","-","-"
"140","getDropwizardResourceConfigClass","@Override
    protected Class<BasicCustomAuthProviderTest.BasicAuthTestResourceConfig> getDropwizardResourceConfigClass()","0","-","-","-","-"
"141","getPrefix","@Override
    protected String getPrefix()","0","-","-","-","-"
"142","getOrdinaryGuyValidToken","@Override
    protected String getOrdinaryGuyValidToken()","0","-","-","-","-"
"143","getGoodGuyValidToken","@Override
    protected String getGoodGuyValidToken()","0","-","-","-","-"
"144","getBadGuyToken","@Override
    protected String getBadGuyToken()","0","-","-","-","-"
"145","hasAUsername","@Test
    void hasAUsername()","0","-","-","-","-"
"146","hasAPassword","@Test
    void hasAPassword()","0","-","-","-","-"
"147","hasAWorkingEqualsMethod","@Test
    void hasAWorkingEqualsMethod()","0","-","-","-","-"
"148","hasAWorkingHashCode","@Test
    void hasAWorkingHashCode()","0","-","-","-","-"
"149","isHumanReadable","@Test
    void isHumanReadable()","0","-","-","-","-"
"150","ChainedAuthTestResourceConfig","public ChainedAuthTestResourceConfig()","0","-","-","-","-"
