"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","testBlank","testBlank","1","Body Change","Project :: Slimfast

Refactored node hierarchy so that leaf nodes (text, comments, scripts,
etc) use 24 bytes vs 40 bytes each.
","f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d","Jonathan Hedley"
"2","testTextBean","testTextBean","2","Body Change","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"3","testTextBean","testTextBean","2","Body Change","Test improvements; assertions updated and unused exception declarations
removed.
","8ddcef3c420f64689ae486237291daf975940973","offa"
"4","testSplitText","testSplitText","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"5","testSplitText","testSplitText","2","Body Change, Introduced, MultiChange","Implemented TextNode.splitText
","c114eb0589d947dfe6f047c546380c3cfe413453","Jonathan Hedley"
"6","testSplitAnEmbolden","testSplitAnEmbolden","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"7","testSplitAnEmbolden","testSplitAnEmbolden","2","Body Change, Introduced, MultiChange","Moved .wrap, .before, and .after from Element to Node for flexibility. Overriding implementations in Element still return Element.
","785d41a37f6c311084ebf2d23e83f4ceb4bb94ed","Jonathan Hedley"
"8","testSplitTextValidation","testSplitTextValidation","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"9","testSplitTextValidation","testSplitTextValidation","2","Body Change, Exceptions Change, Introduced, MultiChange","Added test coverage for TextNode, LeafNode
","ace38eb5056fe5992744ef5c98f220fe4b1c4fb0","Jonathan Hedley"
"10","testWithSupplementaryCharacter","testWithSupplementaryCharacter","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"11","testWithSupplementaryCharacter","testWithSupplementaryCharacter","2","Body Change, Introduced, MultiChange","Merge branch 'master' of https://github.com/mingfai/jsoup into mingfai-master
","aa812e42a784bb551e3cda70078c2c1ed6147b20","Jonathan Hedley"
"12","testLeadNodesHaveNoChildren","testLeadNodesHaveNoChildren","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"13","testLeadNodesHaveNoChildren","testLeadNodesHaveNoChildren","2","Body Change, Introduced, MultiChange","Leaf nodes should return an empty list on .childNodes(), not except

Fixes #1032
","1028b37a1dfbc5dda7b18cbe692ab168c54fb505","Jonathan Hedley"
"14","testSpaceNormalise","testSpaceNormalise","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"15","testSpaceNormalise","testSpaceNormalise","2","Body Change, Introduced, MultiChange","Fix TextNode.outerHtml normalization for orhpans

Fixes #1309
","128008e29c33cf6b3b20fde8f2bbd13ead98509c","Jonathan Hedley"
"16","testClone","testClone","3","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"17","testClone","testClone","3","Body Change, Introduced, MultiChange","Implemented TextNode.splitText
","c114eb0589d947dfe6f047c546380c3cfe413453","Jonathan Hedley"
"18","testClone","testClone","3","Body Change","Added test coverage for TextNode, LeafNode
","ace38eb5056fe5992744ef5c98f220fe4b1c4fb0","Jonathan Hedley"
"19","testCloneAfterAttributesHit","testCloneAfterAttributesHit","1","Body Change, Introduced, MultiChange","Deepclone attributes in LeafNodes if set

Fixes #1176
","fb50d9635874185fc050735057b8a7363cd53f3f","Jonathan Hedley"
"20","testHasTextWhenIterating","testHasTextWhenIterating","1","Body Change, Introduced, MultiChange","Test for #1170 text node content

No repro.
","50fae5bf22955a0b34f512cac9bf77c71257c889","Jonathan Hedley"
"21","createFromEncoded","createFromEncoded","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"22","createFromEncoded","createFromEncoded","2","Body Change, Introduced, MultiChange","Added test coverage for TextNode, LeafNode
","ace38eb5056fe5992744ef5c98f220fe4b1c4fb0","Jonathan Hedley"
"23","normaliseWhitespace","normaliseWhitespace","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"24","normaliseWhitespace","normaliseWhitespace","2","Body Change, Introduced, MultiChange","Added test coverage for TextNode, LeafNode
","ace38eb5056fe5992744ef5c98f220fe4b1c4fb0","Jonathan Hedley"
"25","stripLeadingWhitespace","stripLeadingWhitespace","2","File Renamed","Optimised textnodes to not hold attributes or childnodes unless required on use.
","f548940dd8be5f8c93ef17a8896b2807aa2a08bc","Jonathan Hedley"
"26","stripLeadingWhitespace","stripLeadingWhitespace","2","Body Change, Introduced, MultiChange","Added test coverage for TextNode, LeafNode
","ace38eb5056fe5992744ef5c98f220fe4b1c4fb0","Jonathan Hedley"
