"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","TestEngineStub","public TestEngineStub()","0","-","-","-","-"
"2","TestEngineStub","public TestEngineStub(String id)","0","-","-","-","-"
"3","getId","@Override
	public String getId()","0","-","-","-","-"
"4","discover","@Override
	public TestDescriptor discover(EngineDiscoveryRequest discoveryRequest, UniqueId uniqueId)","0","-","-","-","-"
"5","execute","@Override
	public void execute(ExecutionRequest request)","0","-","-","-","-"
"6","TestEngineSpy","public TestEngineSpy()","0","-","-","-","-"
"7","TestEngineSpy","public TestEngineSpy(String id)","0","-","-","-","-"
"8","getId","@Override
	public String getId()","0","-","-","-","-"
"9","discover","@Override
	public TestDescriptor discover(EngineDiscoveryRequest discoveryRequest, UniqueId uniqueId)","0","-","-","-","-"
"10","execute","@Override
	public void execute(ExecutionRequest request)","0","-","-","-","-"
"11","createEngineThatCannotResolveAnything","public static TestEngineStub createEngineThatCannotResolveAnything(String engineId)","0","-","-","-","-"
"12","discover","@Override
			public TestDescriptor discover(EngineDiscoveryRequest discoveryRequest, UniqueId uniqueId)","0","-","-","-","-"
"13","execute","@Override
			public void execute(ExecutionRequest request)","0","-","-","-","-"
"14","createEngineThatFailsToResolveAnything","public static TestEngineStub createEngineThatFailsToResolveAnything(String engineId, Throwable rootCause)","0","-","-","-","-"
"15","discover","@Override
			public TestDescriptor discover(EngineDiscoveryRequest discoveryRequest, UniqueId uniqueId)","0","-","-","-","-"
"16","execute","@Override
			public void execute(ExecutionRequest request)","0","-","-","-","-"
"17","TestDescriptorStub","public TestDescriptorStub(UniqueId uniqueId, String displayName)","0","-","-","-","-"
"18","getType","@Override
	public Type getType()","0","-","-","-","-"
"19","DemoHierarchicalContainerDescriptor","public DemoHierarchicalContainerDescriptor(UniqueId uniqueId, String displayName, TestSource source,
			Runnable beforeBlock)","0","-","-","-","-"
"20","getType","@Override
	public Type getType()","0","-","-","-","-"
"21","mayRegisterTests","@Override
	public boolean mayRegisterTests()","0","-","-","-","-"
"22","shouldBeSkipped","@Override
	public SkipResult shouldBeSkipped(DemoEngineExecutionContext context)","0","-","-","-","-"
"23","before","@Override
	public DemoEngineExecutionContext before(DemoEngineExecutionContext context)","0","-","-","-","-"
"24","DemoHierarchicalTestDescriptor","public DemoHierarchicalTestDescriptor(UniqueId uniqueId, String displayName,
			BiConsumer<DemoEngineExecutionContext, TestDescriptor> executeBlock)","0","-","-","-","-"
"25","DemoHierarchicalTestDescriptor","public DemoHierarchicalTestDescriptor(UniqueId uniqueId, String displayName, TestSource source,
			BiConsumer<DemoEngineExecutionContext, TestDescriptor> executeBlock)","0","-","-","-","-"
"26","getType","@Override
	public Type getType()","0","-","-","-","-"
"27","markSkipped","public void markSkipped(String reason)","0","-","-","-","-"
"28","shouldBeSkipped","@Override
	public SkipResult shouldBeSkipped(DemoEngineExecutionContext context)","0","-","-","-","-"
"29","execute","@Override
	public DemoEngineExecutionContext execute(DemoEngineExecutionContext context,
			DynamicTestExecutor dynamicTestExecutor)","0","-","-","-","-"
"30","DemoHierarchicalEngineDescriptor","public DemoHierarchicalEngineDescriptor(UniqueId uniqueId)","0","-","-","-","-"
"31","markSkipped","public void markSkipped(String reason)","0","-","-","-","-"
"32","setBeforeAllBehavior","public void setBeforeAllBehavior(Runnable beforeAllBehavior)","0","-","-","-","-"
"33","shouldBeSkipped","@Override
	public SkipResult shouldBeSkipped(DemoEngineExecutionContext context)","0","-","-","-","-"
"34","before","@Override
	public DemoEngineExecutionContext before(DemoEngineExecutionContext context)","0","-","-","-","-"
"35","DemoHierarchicalTestEngine","public DemoHierarchicalTestEngine()","0","-","-","-","-"
"36","DemoHierarchicalTestEngine","public DemoHierarchicalTestEngine(String engineId)","0","-","-","-","-"
"37","getId","@Override
	public String getId()","0","-","-","-","-"
"38","getEngineDescriptor","public DemoHierarchicalEngineDescriptor getEngineDescriptor()","0","-","-","-","-"
"39","addTest","public DemoHierarchicalTestDescriptor addTest(String uniqueName, Runnable executeBlock)","0","-","-","-","-"
"40","addTest","public DemoHierarchicalTestDescriptor addTest(String uniqueName, String displayName, Runnable executeBlock)","0","-","-","-","-"
"41","addTest","public DemoHierarchicalTestDescriptor addTest(String uniqueName, String displayName,
			BiConsumer<DemoEngineExecutionContext, TestDescriptor> executeBlock)","0","-","-","-","-"
"42","addContainer","public DemoHierarchicalContainerDescriptor addContainer(String uniqueName, String displayName, TestSource source)","0","-","-","-","-"
"43","addContainer","public DemoHierarchicalContainerDescriptor addContainer(String uniqueName, Runnable beforeBlock)","0","-","-","-","-"
"44","addContainer","public DemoHierarchicalContainerDescriptor addContainer(String uniqueName, String displayName, TestSource source,
			Runnable beforeBlock)","0","-","-","-","-"
"45","addChild","public <T extends TestDescriptor & Node<DemoEngineExecutionContext>> T addChild(String uniqueName,
			Function<UniqueId, T> creator, String segmentType)","0","-","-","-","-"
