"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","init","init","2","Body Change","Merge branch 'master' of git@github.com:rzwitserloot/lombok
","bd3966af0e5d2ce948bf22dcb99227e0df5c6f13","Reinier Zwitserloot"
"2","init","init","2","Body Change","Added more thorough support for detecting we're running as an annotation processor on an unsupported platform, even giving useful suggestions about what you're doing wrong when we detect you're trying to do this on eclipse.

Fixes ticket #53
","66d4709855d57ae5703ab15fdf70d6ddce2d677d","Reinier Zwitserloot"
"3","process","process","1","Body Change","Added more thorough support for detecting we're running as an annotation processor on an unsupported platform, even giving useful suggestions about what you're doing wrong when we detect you're trying to do this on eclipse.

Fixes ticket #53
","66d4709855d57ae5703ab15fdf70d6ddce2d677d","Reinier Zwitserloot"
"4","agentmain","agentmain","2","Body Change, Exceptions Change, Deleted, MultiChange","Merge branch 'master' of git@github.com:rzwitserloot/lombok
","bd3966af0e5d2ce948bf22dcb99227e0df5c6f13","Reinier Zwitserloot"
"5","agentmain","agentmain","2","Body Change, Exceptions Change, Introduced, MultiChange","Changed build system to ivy.","e693672cd44ab0e648643f4b5c24b1c177ab6c84","Reinier Zwitserloot"
"6","premain","premain","2","Body Change, Exceptions Change, Deleted, MultiChange","Merge branch 'master' of git@github.com:rzwitserloot/lombok
","bd3966af0e5d2ce948bf22dcb99227e0df5c6f13","Reinier Zwitserloot"
"7","premain","premain","2","Body Change, Exceptions Change, Introduced, MultiChange","Changed build system to ivy.","e693672cd44ab0e648643f4b5c24b1c177ab6c84","Reinier Zwitserloot"
"8","patchExceptions","patchExceptions","1","Body Change","Keeping pace with changes to lombok.patcher.","27fd5e477671d74aa1deb169fdc3ea11c37cb442","Reinier Zwitserloot"
"9","testDisplayVerbose","testDisplayVerbose","7","Exceptions Change","ConfigurationApp: hide not-mentioned by default, add parameter to show them anyway.
","8b2d4ca67c2077d7812ba4fec93d94094df0faa8","Roel Spilker"
"10","testDisplayVerbose","testDisplayVerbose","7","Body Change, Exceptions Change, MultiChange","Config import: add traces for archives to the tests
","df4501a648f32111c6ee3ace1c826b3d3eef55a1","Roel Spilker"
"11","testDisplayVerbose","testDisplayVerbose","7","Body Change, Exceptions Change, MultiChange","Config import: add support for environment variables
","0e583c0122d18285b858ec8cecc2e91a4f4feda0","Roel Spilker"
"12","testDisplayVerbose","testDisplayVerbose","7","Exceptions Change","Merge pull request #2548 from rosti-il/master

 Fix tests under Windows, fix test.javac11 and test.javac14, fix issue #1745","409f0428c712207a920acd3ca7c429d97f2d13a1","Reinier Zwitserloot"
"13","testDisplayVerbose","testDisplayVerbose","7","Exceptions Change","Fix configuration test, the configuration app generates platform-specific line-endings
","208329f10f88a89806f4c115a851235718cea81b","Roel Spilker"
"14","testDisplayVerbose","testDisplayVerbose","7","Exceptions Change","configuration app returns non-zero value (2) if the configuration contains an error. Fixes #3031
","37d548c7fa1db5284227a861089857fc20de06ce","Roel Spilker"
"15","testDisplayVerbose","testDisplayVerbose","7","Body Change, Exceptions Change, MultiChange","Make test for configuration more platform and settings independent
","834e562592d56dfa0c83a24d0d03aa9f60a50d01","Roel Spilker"
"16","checkContent","checkContent","3","Exceptions Change","ConfigurationApp: hide not-mentioned by default, add parameter to show them anyway.
","8b2d4ca67c2077d7812ba4fec93d94094df0faa8","Roel Spilker"
"17","checkContent","checkContent","3","Body Change, Exceptions Change, MultiChange","Make test for configuration more platform and settings independent
","834e562592d56dfa0c83a24d0d03aa9f60a50d01","Roel Spilker"
"18","checkContent","checkContent","3","Body Change, Exceptions Change, MultiChange","[trivial] Fix a test that failed only because we updated some text output.
","af05813e918ed9bc29510d11fcdededf4a4b9f35","Reinier Zwitserloot"
"19","useThis","useThis","1","Body Change","Merge pull request #3633 from Rawi01/eclipse_case_statement

Fix Eclipse-I tests","d04e9324afe30dcc7f24b31cf5c6c69200ac8ff3","Reinier Zwitserloot"
"20","synchronizedUsage","synchronizedUsage","1","Body Change","Merge branch 'eclipse-synchronized-error' of https://github.com/Rawi01/lombok into eclipse-synchronized-error
","1ac535f644d62d2a8c3151fb8e8fef8e829b0123","Reinier Zwitserloot"
"21","simple","simple","1","Body Change","[fixes #1758] Remove generated nodes in search results

Lombok can now handle generated methods in nested classes.","664a2296b44d62bee8fbf2c49d3478f042b7bc2f","Rawi01"
"22","data","data","1","Body Change","[fixes #1758] Remove generated nodes in search results

Lombok can now handle generated methods in nested classes.","664a2296b44d62bee8fbf2c49d3478f042b7bc2f","Rawi01"
"23","nestedClass","nestedClass","1","Body Change","[fixes #1758] Remove generated nodes in search results

Lombok can now handle generated methods in nested classes.","664a2296b44d62bee8fbf2c49d3478f042b7bc2f","Rawi01"
"24","ecjCompilerOptions","ecjCompilerOptions","3","File Renamed","Updated copyright statements and version release name.","868d8b0f93c0801f638b8c5523291aacd35d9ce2","Reinier Zwitserloot"
"25","ecjCompilerOptions","ecjCompilerOptions","3","Body Change, Introduced, MultiChange","Merge branch 'eclipse-npe-initializer' of https://github.com/Rawi01/lombok into Rawi01-eclipse-npe-initializer
","b1f9370e11a9ab7d008185c1998e5e93015438b8","Reinier Zwitserloot"
"26","ecjCompilerOptions","ecjCompilerOptions","3","Body Change","Merge branch 'eclipse-tests-signature'
","022ea9f5036e536cbe51fcb5e0a5bb2decb26800","Reinier Zwitserloot"
"27","ecjErrorHandlingPolicy","ecjErrorHandlingPolicy","6","File Renamed","Updated copyright statements and version release name.","868d8b0f93c0801f638b8c5523291aacd35d9ce2","Reinier Zwitserloot"
