"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","readResource","readResource","1","Body Change","more repeatable compilation benchmark
","7128679f9cbc87b4609003c583b4fc4d183d04b8","Sam Pullara"
"2","TweetBench","TweetBench","1","Body Change","update benchmarks
","b37460af802e21cee798d8c266dc57908a600972","Sam Pullara"
"3","testCompilation","testCompilation","1","Body Change","more repeatable compilation benchmark
","7128679f9cbc87b4609003c583b4fc4d183d04b8","Sam Pullara"
"4","testExecution","testExecution","1","Body Change","more repeatable compilation benchmark
","7128679f9cbc87b4609003c583b4fc4d183d04b8","Sam Pullara"
"5","testTimeline","testTimeline","1","Body Change","more repeatable compilation benchmark
","7128679f9cbc87b4609003c583b4fc4d183d04b8","Sam Pullara"
"6","main","main","4","Exceptions Change","more repeatable compilation benchmark
","7128679f9cbc87b4609003c583b4fc4d183d04b8","Sam Pullara"
"7","main","main","4","Exceptions Change","Merge pull request #183 from mbooth101/jackson

Standardise on a single version of jackson (2.7.4)","b9c0b01083a9dc3b2d5df36c54d8ba46c285bde6","Sam Pullara"
"8","main","main","4","Body Change, Exceptions Change, MultiChange","measure the amount of memory allocated running a mustache. down to a single allocation for the scope list.
","f1af955ed9d4fb95ee08e2a33fe44885bd16bc1e","Sam Pullara"
"9","main","main","4","Exceptions Change","make this not thrash the guards
","e6eabef54e3f98600c0e7a71e8974c5f33ce2bbe","Sam Pullara"
"10","JsonMap","JsonMap","1","Modifier Change","update benchmarks
","b37460af802e21cee798d8c266dc57908a600972","Sam Pullara"
"11","convert","convert","1","Body Change","Merge pull request #183 from mbooth101/jackson

Standardise on a single version of jackson (2.7.4)","b9c0b01083a9dc3b2d5df36c54d8ba46c285bde6","Sam Pullara"
"12","readStringFromURL","readStringFromURL","2","File Renamed","huge performance increase moving to a stack based scope without copying
","6124b6ffbb887af1c8c449681763aa248bc8ce67","Sam Pullara"
"13","readStringFromURL","readStringFromURL","2","Body Change, Introduced, MultiChange","this is somewhat slower on the synthetic benchmarks but twice as fast on real data with a real writer.
","2edf8dec8dfc23d322007a178da9606241d13540","Sam Pullara"
"14","benchEscapeHTML","benchEscapeHTML","1","Body Change, Introduced, MultiChange","this is somewhat slower on the synthetic benchmarks but twice as fast on real data with a real writer.
","2edf8dec8dfc23d322007a178da9606241d13540","Sam Pullara"
"15","benchEscapeHTMLwithSW","benchEscapeHTMLwithSW","1","Body Change, Introduced, MultiChange","this is somewhat slower on the synthetic benchmarks but twice as fast on real data with a real writer.
","2edf8dec8dfc23d322007a178da9606241d13540","Sam Pullara"
"16","testSingleThreaded","testSingleThreaded","3","Exceptions Change","switch to nullwriter. this gets all that messy buffering out of the way.
","c4d4fec0f18cd15b1b055537a09fbbcc7ef88078","Sam Pullara"
"17","testSingleThreaded","testSingleThreaded","3","Body Change, Exceptions Change, MultiChange","set the CI property or environment variable to turn off benchmarks
","ca6bb03128e3b1d991744080aadf8e51880b0542","Sam Pullara"
"18","testSingleThreaded","testSingleThreaded","3","Modifier Change, Exceptions Change, MultiChange","Update tests for jUnit 4.x

Introduce use of assertThrows() from jUnit 4.x

Clean up exception declarations in tests
","9896a263138b8401c6cf1c2b68a180e3aff8b67f","Russell Howe"
"19","testSingleThreadedClass","testSingleThreadedClass","2","Body Change, Exceptions Change, Introduced, MultiChange","compare using json vs using an object
","c8c8443c0dc0de0b0f77bcb3c55b5ab36af72915","Sam Pullara"
"20","testSingleThreadedClass","testSingleThreadedClass","2","Modifier Change, Exceptions Change, MultiChange","Update tests for jUnit 4.x

Introduce use of assertThrows() from jUnit 4.x

Clean up exception declarations in tests
","9896a263138b8401c6cf1c2b68a180e3aff8b67f","Russell Howe"
"21","testContextPrecedence","testContextPrecedence","2","Body Change, Exceptions Change, Introduced, MultiChange","add a fix for context precedence test. we were treating the entire dot notation as missing rather than just the segment.
","60f0c15d7b973c57eee40a31f07052ef3d97a7af","Sam Pullara"
"22","testContextPrecedence","testContextPrecedence","2","Modifier Change","Update tests for jUnit 4.x

Introduce use of assertThrows() from jUnit 4.x

Clean up exception declarations in tests
","9896a263138b8401c6cf1c2b68a180e3aff8b67f","Russell Howe"
