"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","run","run","2","Body Change, Exceptions Change, Introduced, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"2","run","run","2","Body Change, Exceptions Change, MultiChange","Merge pull request #2572 from square/jwilson.0521.close_examples

Better documentation and examples on closing response bodies.","3f7a3344a4c85aa3bbb879dabac5ee625ab987f3","Jesse Wilson"
"3","main","main","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"4","post","post","3","Body Change, Exceptions Change, Introduced, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"5","post","post","3","Exceptions Change","Merge pull request #2572 from square/jwilson.0521.close_examples

Better documentation and examples on closing response bodies.","3f7a3344a4c85aa3bbb879dabac5ee625ab987f3","Jesse Wilson"
"6","post","post","3","Exceptions Change","Merge pull request #5121 from square/jwilson.0525.ext_fu

Extension Functions toRequestBody(), toResponseBody()","3b8f94be62ccb4bc21a38568c33b006d1a5e983b","Jesse Wilson"
"7","bowlingJson","bowlingJson","1","Body Change, Introduced, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"8","main","main","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"9","CacheResponse","CacheResponse","3","Body Change, Exceptions Change, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"10","CacheResponse","CacheResponse","3","Exceptions Change","Merge pull request #2177 from square/jwilson_1230_okhttpclient_builder

Refactor towards an OkHttpClient.Builder.","71ec4917b51faeba98db149739576feb51b4d505","Jesse Wilson"
"11","CacheResponse","CacheResponse","3","Exceptions Change","Merge pull request #2182 from square/jwilson_0101_get_set

Drop get and set prefixes in OkHttpClient, OkHttpClient.Builder","daf2ec6b9df11190708144026e7ce4c62b58e486","Jake Wharton"
"12","run","run","2","Body Change, Exceptions Change, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"13","run","run","2","Body Change, Exceptions Change, MultiChange","Merge pull request #2572 from square/jwilson.0521.close_examples

Better documentation and examples on closing response bodies.","3f7a3344a4c85aa3bbb879dabac5ee625ab987f3","Jesse Wilson"
"14","main","main","1","Body Change","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"15","run","run","2","Body Change, Exceptions Change, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"16","run","run","2","Exceptions Change","Merge pull request #2572 from square/jwilson.0521.close_examples

Better documentation and examples on closing response bodies.","3f7a3344a4c85aa3bbb879dabac5ee625ab987f3","Jesse Wilson"
"17","main","main","1","Body Change","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"18","CustomCipherSuites","CustomCipherSuites","1","Body Change","Merge pull request #4715 from square/jwilson.0313.better_assertj

Use more AssertJ features","eaea8a41cde4c86e970aa2fc08a786be432bd64b","Jesse Wilson"
"19","run","run","7","Body Change, Exceptions Change, Introduced, MultiChange","Merge pull request #2118 from square/jwilson_1216_okhttp3

Rename com.squareup.okhttp to okhttp3","548e31450e20cbddefa4b903a79e1a209e4ed657","Jake Wharton"
"20","run","run","7","Body Change, Exceptions Change, MultiChange","Merge pull request #2177 from square/jwilson_1230_okhttpclient_builder

Refactor towards an OkHttpClient.Builder.","71ec4917b51faeba98db149739576feb51b4d505","Jesse Wilson"
"21","run","run","7","Exceptions Change","Merge pull request #2182 from square/jwilson_0101_get_set

Drop get and set prefixes in OkHttpClient, OkHttpClient.Builder","daf2ec6b9df11190708144026e7ce4c62b58e486","Jake Wharton"
"22","run","run","7","Body Change, Exceptions Change, MultiChange","Merge pull request #2183 from square/jwilson_0101_synthetics_

Restore no-args constructor for OkHttpClient.","f1f975bf4be6995821f6ecabd19820e5757691c6","Jake Wharton"
"23","run","run","7","Exceptions Change","Merge pull request #2187 from square/jwilson_0102_fix_some_get_prefixes

Fix some get prefixes on Cache and ConnectionPool.","c73dfc3aa12e4c6485d092d4fc050c6fa787f485","Jake Wharton"
"24","run","run","7","Body Change, Exceptions Change, MultiChange","Merge pull request #2790 from jwendell/WebSocketEcho-Improvements

Improve WebSocketEcho example","d854e6d5ad93da4da9b5d5818ee752477e501b18","Jake Wharton"
"25","run","run","7","Exceptions Change","Merge pull request #2852 from square/jw/web-sockets

Move WebSockets from separate artifact to main.","7135628c645892faf1a48a8cff464e0ed4ad88cb","Jesse Wilson"
"26","onOpen","onOpen","1","Body Change, Introduced, MultiChange","Merge pull request #2991 from square/jwilson.1119.nio

Rename NewWebSocket to WebSocket.","4df16f3a5b625e7e0adc208326cef0daa5105979","Jake Wharton"
"27","onMessage","onMessage","1","Body Change, Introduced, MultiChange","Merge pull request #2991 from square/jwilson.1119.nio

Rename NewWebSocket to WebSocket.","4df16f3a5b625e7e0adc208326cef0daa5105979","Jake Wharton"
"28","onMessage","onMessage","1","Body Change, Introduced, MultiChange","Merge pull request #2991 from square/jwilson.1119.nio

Rename NewWebSocket to WebSocket.","4df16f3a5b625e7e0adc208326cef0daa5105979","Jake Wharton"
"29","onClosing","onClosing","1","Body Change, Introduced, MultiChange","Merge pull request #2991 from square/jwilson.1119.nio

Rename NewWebSocket to WebSocket.","4df16f3a5b625e7e0adc208326cef0daa5105979","Jake Wharton"
