"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","bodyExecute","@Test
  public void bodyExecute() throws IOException","0","-","-","-","-"
"2","bodyEnqueue","@Test
  public void bodyEnqueue() throws IOException","0","-","-","-","-"
"3","onResponse","@Override
          public void onResponse(Call<String> call, Response<String> response)","0","-","-","-","-"
"4","onFailure","@Override
          public void onFailure(Call<String> call, Throwable t)","0","-","-","-","-"
"5","responseExecute","@Test
  public void responseExecute() throws IOException","0","-","-","-","-"
"6","responseEnqueue","@Test
  public void responseEnqueue()","0","-","-","-","-"
"7","onResponse","@Override
          public void onResponse(Call<String> call, Response<String> response)","0","-","-","-","-"
"8","onFailure","@Override
          public void onFailure(Call<String> call, Throwable t)","0","-","-","-","-"
"9","onResponse","@Override
            public void onResponse(Call<String> call, Response<String> response)","0","-","-","-","-"
"10","onFailure","@Override
            public void onFailure(Call<String> call, Throwable t)","0","-","-","-","-"
"11","enqueueNullThrows","@Test
  public void enqueueNullThrows()","0","-","-","-","-"
"12","responseCancelExecute","@Test
  public void responseCancelExecute()","0","-","-","-","-"
"13","responseCancelEnqueue","@Test
  public void responseCancelEnqueue() throws IOException","0","-","-","-","-"
"14","onResponse","@Override
          public void onResponse(Call<String> call, Response<String> response)","0","-","-","-","-"
"15","onFailure","@Override
          public void onFailure(Call<String> call, Throwable t)","0","-","-","-","-"
"16","failureExecute","@Test
  public void failureExecute()","0","-","-","-","-"
"17","failureExecuteCheckedException","@Test
  public void failureExecuteCheckedException()","0","-","-","-","-"
"18","failureEnqueue","@Test
  public void failureEnqueue()","0","-","-","-","-"
"19","onResponse","@Override
          public void onResponse(Call<Object> call, Response<Object> response)","0","-","-","-","-"
"20","onFailure","@Override
          public void onFailure(Call<Object> call, Throwable t)","0","-","-","-","-"
"21","cloneHasOwnState","@Test
  public void cloneHasOwnState() throws IOException","0","-","-","-","-"
"22","deferredReturnExecute","@Test
  public void deferredReturnExecute() throws IOException","0","-","-","-","-"
"23","call","@Override
              public Call<Integer> call() throws Exception","0","-","-","-","-"
"24","deferredReturnEnqueue","@Test
  public void deferredReturnEnqueue()","0","-","-","-","-"
"25","call","@Override
              public Call<Integer> call() throws Exception","0","-","-","-","-"
"26","onResponse","@Override
          public void onResponse(Call<Integer> call, Response<Integer> response)","0","-","-","-","-"
"27","onFailure","@Override
          public void onFailure(Call<Integer> call, Throwable t)","0","-","-","-","-"
