"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","testSerialization","testSerialization","3","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"2","testSerialization","testSerialization","3","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"3","testSerialization","testSerialization","3","Body Change","Suppress warning
","5accc40c77e51cb15eb87a480e679a5012d1423e","Dave Syer"
"4","james","james","1","Body Change, Introduced, MultiChange","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
"5","helen","helen","1","Body Change, Introduced, MultiChange","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
"6","setup","setup","5","Body Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"7","setup","setup","5","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"8","setup","setup","5","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"9","setup","setup","5","Body Change","Add pagination for owners and vets lists in HTML

Fixes #91
","8ad9c05f74a96f46dd4211766fbb0bc78d48f94d","simrin051"
"10","setup","setup","5","Body Change","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
"11","testShowVetListHtml","testShowVetListHtml","4","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"12","testShowVetListHtml","testShowVetListHtml","4","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"13","testShowVetListHtml","testShowVetListHtml","4","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"14","testShowVetListHtml","testShowVetListHtml","4","Body Change, Exceptions Change, MultiChange","Add pagination for owners and vets lists in HTML

Fixes #91
","8ad9c05f74a96f46dd4211766fbb0bc78d48f94d","simrin051"
"15","testShowResourcesVetList","testShowResourcesVetList","4","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"16","testShowResourcesVetList","testShowResourcesVetList","4","Body Change, Exceptions Change, MultiChange","Merge pull request #326 from aidenchiavatti:json-fix

* pr/326:
  Polish ""Fix content negotiation for /vets""
  Fix content negotiation for /vets
","44060315cc53e3351276e2354a98adde917451ba","Stephane Nicoll"
"17","testShowResourcesVetList","testShowResourcesVetList","4","Body Change, Exceptions Change, MultiChange","Upgrade to Spring Boot 2.2.0.RELEASE
","ce7c3f93deb53798e3842e583fecea3514e90f1e","Stephane Nicoll"
"18","testShowResourcesVetList","testShowResourcesVetList","4","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"19","setup","setup","6","Body Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"20","setup","setup","6","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"21","setup","setup","6","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"22","setup","setup","6","Body Change","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
"23","setup","setup","6","Body Change","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"24","setup","setup","6","Body Change","Use the java.util List.of() instead of the AssetJ Lists class

Signed-off-by: Antoine Rey <antoine.rey@free.fr>
","d7cc02f3d7dc1205128f40dc433b2dfcfa1fca51","Antoine Rey"
"25","testInitCreationForm","testInitCreationForm","3","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"26","testInitCreationForm","testInitCreationForm","3","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"27","testInitCreationForm","testInitCreationForm","3","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"28","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"29","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Exceptions Change","Fix broken tests
","23f65ba7d0101adeb32f36fd8f634549ee3d6e40","Oscar Utbult"
"30","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"31","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"32","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"33","testProcessCreationFormWithBlankName","testProcessCreationFormWithBlankName","1","Body Change, Exceptions Change, Introduced, MultiChange","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"34","testProcessCreationFormWithDuplicateName","testProcessCreationFormWithDuplicateName","1","Body Change, Exceptions Change, Introduced, MultiChange","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"35","testProcessCreationFormWithMissingPetType","testProcessCreationFormWithMissingPetType","1","Body Change, Exceptions Change, Introduced, MultiChange","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"36","testProcessCreationFormWithInvalidBirthDate","testProcessCreationFormWithInvalidBirthDate","1","Body Change, Exceptions Change, Introduced, MultiChange","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"37","testInitUpdateForm","testInitUpdateForm","3","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"38","testInitUpdateForm","testInitUpdateForm","3","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"39","testInitUpdateForm","testInitUpdateForm","3","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"40","testProcessUpdateFormSuccess","testProcessUpdateFormSuccess","5","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"41","testProcessUpdateFormSuccess","testProcessUpdateFormSuccess","5","Exceptions Change","Fix broken tests
","23f65ba7d0101adeb32f36fd8f634549ee3d6e40","Oscar Utbult"
"42","testProcessUpdateFormSuccess","testProcessUpdateFormSuccess","5","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"43","testProcessUpdateFormSuccess","testProcessUpdateFormSuccess","5","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"44","testProcessUpdateFormSuccess","testProcessUpdateFormSuccess","5","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"45","testProcessUpdateFormWithInvalidBirthDate","testProcessUpdateFormWithInvalidBirthDate","1","Body Change, Exceptions Change, Introduced, MultiChange","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"46","testProcessUpdateFormWithBlankName","testProcessUpdateFormWithBlankName","1","Body Change, Exceptions Change, Introduced, MultiChange","Refactor the logic and add unit test
-<add>: add `@NotBlank` validation to pet's name.
-<refactor>: delete useless code and add unit test to check duplicate Pet name validation logic.
-<modify>: add `Id` to pet in unit test.
-<refactor>: classify unit test.

<modify>: adjust code format.
","50866def72014963764577e1f737cdd6b9f9f691","YiXuan Ding"
"47","george","george","1","Body Change, Introduced, MultiChange","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
"48","setup","setup","11","Body Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"49","setup","setup","11","Body Change","Make Pet.visits @Transient

In that way the Pet and Visit entities are more modular, and we
don't have to rely on a bit of a hack which is that Hibernate
happily maps Pet to its ID in the entity generation (but fails
if you do it at compile time).
","7ef045dac8effb41d5f24c1e1011869b59a3d0a2","Dave Syer"
"50","setup","setup","11","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"51","setup","setup","11","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"52","setup","setup","11","Body Change","Add pagination for owners and vets lists in HTML

Fixes #91
","8ad9c05f74a96f46dd4211766fbb0bc78d48f94d","simrin051"
"53","setup","setup","11","Body Change","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
"54","setup","setup","11","Body Change","Also remove VisitRepository

Rely on Hibernate to do lazy loading on visits.
","58fe6298f83615fbcc14d55b47d09c947d9a958d","Dave Syer"
"55","setup","setup","11","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"56","setup","setup","11","Body Change","test: remove duplicate assertion
","8f799263e00b9fcf0d8ca78d864d8b46ce3b8aea","Anyul Rivas"
"57","setup","setup","11","Body Change","Refactor code logic
<refactor>: remove useless logic cod.
<refactor>: detele useless annotation which is provided by Jpa.
<refactor>: refactor implement of `findByLastName`, use Jpa to simplify query.
","1cad4124b7685d3e66ac376f44874a3d5319cb06","YiXuan Ding"
"58","setup","setup","11","Body Change","Use the java.util List.of() instead of the AssetJ Lists class

Signed-off-by: Antoine Rey <antoine.rey@free.fr>
","d7cc02f3d7dc1205128f40dc433b2dfcfa1fca51","Antoine Rey"
"59","testInitCreationForm","testInitCreationForm","4","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"60","testInitCreationForm","testInitCreationForm","4","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"61","testInitCreationForm","testInitCreationForm","4","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"62","testInitCreationForm","testInitCreationForm","4","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"63","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"64","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"65","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"66","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"67","testProcessCreationFormSuccess","testProcessCreationFormSuccess","5","Exceptions Change","Add user friendly error message
","405cdc635b10770a2f5ed70be973cdf905cfa736","Pedro Chevallier"
"68","testProcessCreationFormHasErrors","testProcessCreationFormHasErrors","4","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"69","testProcessCreationFormHasErrors","testProcessCreationFormHasErrors","4","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"70","testProcessCreationFormHasErrors","testProcessCreationFormHasErrors","4","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"71","testProcessCreationFormHasErrors","testProcessCreationFormHasErrors","4","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"72","testInitFindForm","testInitFindForm","4","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"73","testInitFindForm","testInitFindForm","4","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"74","testInitFindForm","testInitFindForm","4","Body Change","Apply spring-format plugin
","4e1f87407d80cdb4a5a293de89d62034fdcbb847","Dave Syer"
"75","testInitFindForm","testInitFindForm","4","Body Change","Updating dependencies and docker containers to current versions

See #1157
","0962ed7e8f5df8cf287c79975f9894f3189aebab","Patrick Baumgartner"
"76","testProcessFindFormSuccess","testProcessFindFormSuccess","9","Body Change, Exceptions Change, Introduced, MultiChange","Modularize and migrate to aggregate-oriented domain

Vet, Owner, Visit. The Visit ""aggregate"" is a little artificial
but it demonstrates a useful point about not holding on to
references of ""parent"" (reference data) objects, i.e. the Visit has
an Integer petId, instead of a Pet field. In principle this app is
now almost ready to migrate to multiple services if anyone wanted
to do that.
","83ff9a50e378529993f4f772457dd24791b46438","Dave Syer"
"77","testProcessFindFormSuccess","testProcessFindFormSuccess","9","Modifier Change","Merge pull request #360 from arey

* pr/360:
  Polish ""Migrate tests to JUnit 5""
  Migrate tests to JUnit 5

Closes gh-360
","6e4c31c6817782a05ea13edc2cfc036c6686b7ff","Stephane Nicoll"
"78","testProcessFindFormSuccess","testProcessFindFormSuccess","9","Body Change, Exceptions Change, MultiChange","Add pagination for owners and vets lists in HTML

Fixes #91
","8ad9c05f74a96f46dd4211766fbb0bc78d48f94d","simrin051"
"79","testProcessFindFormSuccess","testProcessFindFormSuccess","9","Body Change, Exceptions Change, MultiChange","Tidy up test
","e11a594ec210344faa4931f29678ed164bb546ac","Dave Syer"
"80","testProcessFindFormSuccess","testProcessFindFormSuccess","9","Body Change, Exceptions Change, MultiChange","Remove PetRepository and use Owner as aggregate

Owner is really the aggregate root in DDD terms and there is no
need to directly access the Pet entity.
","c9534421c8d4f29b7d2d78636bb42f58b7cdebaa","Dave Syer"
