"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","dispose","@Override public void dispose()","0","-","-","-","-"
"2","isDisposed","@Override public boolean isDisposed()","0","-","-","-","-"
"3","schedule","@Override public Disposable schedule(Runnable run, long delay, TimeUnit unit)","0","-","-","-","-"
"4","now","@Override public long now(TimeUnit unit)","0","-","-","-","-"
"5","createWorker","@Override public Worker createWorker()","0","-","-","-","-"
"6","now","@Override public long now(TimeUnit unit)","0","-","-","-","-"
"7","BaseTestConsumerEx","public BaseTestConsumerEx()","0","-","-","-","-"
"8","lastThread","/** * Returns the last thread which called the onXXX methods of this TestObserver/TestSubscriber. * @return the last thread which called the onXXX methods */ public final Thread lastThread()","0","-","-","-","-"
"9","assertNever","/** * Assert that this TestObserver/TestSubscriber did not receive an onNext value which is equal to * the given value with respect to null-safe Object.equals. * * <p>History: 2.0.5 - experimental * @param value the value to expect not being received * @return this * @since 2.1 */ @SuppressWarnings(""unchecked"") public final U assertNever(T value)","0","-","-","-","-"
"10","assertNever","/** * Asserts that this TestObserver/TestSubscriber did not receive any onNext value for which * the provided predicate returns true. * * <p>History: 2.0.5 - experimental * @param valuePredicate the predicate that receives the onNext value * and should return true for the expected value. * @return this * @since 2.1 */ @SuppressWarnings(""unchecked"") public final U assertNever(Predicate<? super T> valuePredicate)","0","-","-","-","-"
"11","assertTerminated","/** * Assert that the TestObserver/TestSubscriber terminated (i.e., the terminal latch reached zero). * @return this */ @SuppressWarnings(""unchecked"") public final U assertTerminated()","0","-","-","-","-"
"12","assertNotTerminated","/** * Assert that the TestObserver/TestSubscriber has not terminated (i.e., the terminal latch is still non-zero). * @return this */ @SuppressWarnings(""unchecked"") public final U assertNotTerminated()","0","-","-","-","-"
"13","assertErrorMessage","/** * Assert that there is a single error and it has the given message. * @param message the message expected * @return this */ @SuppressWarnings(""unchecked"") public final U assertErrorMessage(String message)","0","-","-","-","-"
"14","assertFailure","/** * Assert that the upstream signalled the specified values in order and then failed * with a Throwable for which the provided predicate returns true. * @param errorPredicate * the predicate that receives the error Throwable * and should return true for expected errors. * @param values the expected values, asserted in order * @return this */ @SafeVarargs public final U assertFailure(Predicate<Throwable> errorPredicate, T... values)","0","-","-","-","-"
