"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","selectEnvironments","public List<StartEnvironment> selectEnvironments() throws IOException","1","-","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"2","createDynamicTests","@TestFactory @Execution(ExecutionMode.CONCURRENT) // NOTE: tests might only run concurrently using `mvn test` @DisplayName(""Dynamic test oracles from JSON files"") public Collection<DynamicTest> createDynamicTests() throws Exception","1","-","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"3","createDynamicTest","private DynamicTest createDynamicTest(StartEnvironment startEnv) throws IOException","1","-","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"4","doCreateDynamicTest","private DynamicTest doCreateDynamicTest(StartEnvironment startEnv)","1","Body Change","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"5","performComparison","public boolean performComparison(StartEnvironment startEnv) throws Exception","1","-","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"6","runEnvironment","public Yresult runEnvironment(StartEnvironment startEnv, StringBuilder actualResultBuilder, StringBuilder expectedResultBuilder) throws IOException, Exception","1","-","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"7","compareResults","private static boolean compareResults(Map<String, String> expectedResult, Yresult actualResult)","1","Body Change","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"8","main","public static void main(String[] args) throws Exception","11","Body Change","Fixed heap space issue in mining executions
","640af9b185af89ea568d3201f9f7a932c457f694","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","Logging more information and nicer
","b7e3f858c6866154fb3b947dd3ecf7424179d1d6","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","Specify execution parameters as environment variables to avoid having to change source code on each execution
","b6217fda49d3b759cb5ff3e37847e6521288c668","Nick Bradley"
"8","main","public static void main(String[] args) throws Exception","11","-","Different bugfixes and improvements during empirical analysis
","476b403d1c73c8e4d37d82e21b72d2a3d2383f65","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","Improved similarity algorithm if there is only one candidate with the same name among removed functions.
Created stubs for flink repository and got JUnit framework to run again.
","1c89ee62dea633ad3323d523e3ad8febbf355d33","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","Removed unused imports; Test configs
","046db2a64df8909751d3676c3595ba2ca62b67aa","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","Merge changes
","dfb250b1596f92acf1ff0c127da1a41e12cbbb89","Nick Bradley"
"8","main","public static void main(String[] args) throws Exception","11","-","Performance improvements (static ast cache), env variable renames, result logging, etc.
","d58bb9f19ffe870b6a3a9c30a359f565b1a71ff4","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","Implemented GlobalEnv so we have all System.getenv calls in one place
Also cleaned up some stuff
","0444c8a61614b88232efcab4f3fc5e2298deb509","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","added only baseline implementation
","8fbac0bdd46accd745efe6e6d2b0a871b14a1f87","Felix Grund"
"8","main","public static void main(String[] args) throws Exception","11","-","reverted only baseline code
","2a067cb942deffceeb9d43dd91f83ce65d098b1a","Felix Grund"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 improve messages in thresholdrunner
","cbce007f93b6b15d6e7791d869bbaa4849c9e328","Reid Holmes"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 Intermediate changes while simplifying the algorithim. (This will be a messy commit because a lot of in-progress work was rolled back). 189/200
","934f4e5da70c622d6be56ce309c87853fda3c003","Reid Holmes"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 Add documentation to classes so people can actually figure out how to get started.
","80cc1e03ee245777de9f7a987cae5a1137d49179","Reid Holmes"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 more simplification in abstract parser
","f80dc6f58b56d8d9d495cffa0b094b9136bf794b","Reid Holmes"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 refactor from 'stubs' to 'oracles'.
update docs and code references consistently through the repo.
","5ce44987cfd47e007cecca2928f5dcee5abb232a","reid holmes"
"9","ThresholdRunner","public ThresholdRunner()","7","-","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","Signature Change, Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","Minor Modification","see #47 improve messages in thresholdrunner
","cbce007f93b6b15d6e7791d869bbaa4849c9e328","Reid Holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","-","see #47 Intermediate changes while simplifying the algorithim. (This will be a messy commit because a lot of in-progress work was rolled back). 189/200
","934f4e5da70c622d6be56ce309c87853fda3c003","Reid Holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","-","see #47 Add documentation to classes so people can actually figure out how to get started.
","80cc1e03ee245777de9f7a987cae5a1137d49179","Reid Holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","-","see #47 more simplification in abstract parser
","f80dc6f58b56d8d9d495cffa0b094b9136bf794b","Reid Holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","-","see #47 refactor from 'stubs' to 'oracles'.
update docs and code references consistently through the repo.
","5ce44987cfd47e007cecca2928f5dcee5abb232a","reid holmes"
"10","print","/** * Trying different permutations generates a lot of log messages. * Cache the key messages from ThresholdRunner so they can be * played back at the end of the execution. * * @param msg */ public void print(String msg)","7","-","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"11","doIt","public void doIt() throws Exception","7","Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"11","doIt","public void doIt() throws Exception","7","Body Change","see #47 improve messages in thresholdrunner
","cbce007f93b6b15d6e7791d869bbaa4849c9e328","Reid Holmes"
"11","doIt","public void doIt() throws Exception","7","Body Change","see #47 Intermediate changes while simplifying the algorithim. (This will be a messy commit because a lot of in-progress work was rolled back). 189/200
","934f4e5da70c622d6be56ce309c87853fda3c003","Reid Holmes"
"11","doIt","public void doIt() throws Exception","7","-","see #47 Add documentation to classes so people can actually figure out how to get started.
","80cc1e03ee245777de9f7a987cae5a1137d49179","Reid Holmes"
"11","doIt","public void doIt() throws Exception","7","Body Change","see #47 more simplification in abstract parser
","f80dc6f58b56d8d9d495cffa0b094b9136bf794b","Reid Holmes"
"11","doIt","public void doIt() throws Exception","7","-","see #47 refactor from 'stubs' to 'oracles'.
update docs and code references consistently through the repo.
","5ce44987cfd47e007cecca2928f5dcee5abb232a","reid holmes"
"11","doIt","public void doIt() throws Exception","7","-","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","Signature Change, Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","Body Change","see #47 improve messages in thresholdrunner
","cbce007f93b6b15d6e7791d869bbaa4849c9e328","Reid Holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","Body Change","see #47 Intermediate changes while simplifying the algorithim. (This will be a messy commit because a lot of in-progress work was rolled back). 189/200
","934f4e5da70c622d6be56ce309c87853fda3c003","Reid Holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","-","see #47 Add documentation to classes so people can actually figure out how to get started.
","80cc1e03ee245777de9f7a987cae5a1137d49179","Reid Holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","-","see #47 more simplification in abstract parser
","f80dc6f58b56d8d9d495cffa0b094b9136bf794b","Reid Holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","-","see #47 refactor from 'stubs' to 'oracles'.
update docs and code references consistently through the repo.
","5ce44987cfd47e007cecca2928f5dcee5abb232a","reid holmes"
"12","evaluateConfig","private void evaluateConfig(int count) throws Exception","7","-","see #47 setup parallelization for mvn test running (cuts execution time by 2/3)
","38c2f74caad6982c1cd23cca9fd6b01f65d5a1a5","reid holmes"
"13","run","public String run() throws Exception","7","Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
