"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","run","String run(String url) throws IOException","0","-","-","-","-"
"2","main","public static void main(String[] args) throws IOException","0","-","-","-","-"
"3","post","String post(String url, String json) throws IOException","0","-","-","-","-"
"4","bowlingJson","String bowlingJson(String player1, String player2)","0","-","-","-","-"
"5","main","public static void main(String[] args) throws IOException","0","-","-","-","-"
"6","CacheResponse","public CacheResponse(File cacheDirectory) throws Exception","0","-","-","-","-"
"7","run","public void run() throws Exception","0","-","-","-","-"
"8","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"9","run","public void run() throws Exception","0","-","-","-","-"
"10","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"11","run","public void run() throws Exception","0","-","-","-","-"
"12","update","@Override public void update(long bytesWritten, long contentLength, boolean done)","0","-","-","-","-"
"13","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"14","ProgressRequestBody","public ProgressRequestBody(RequestBody delegate, ProgressListener progressListener)","0","-","-","-","-"
"15","contentType","@Override public MediaType contentType()","0","-","-","-","-"
"16","contentLength","@Override public long contentLength() throws IOException","0","-","-","-","-"
"17","writeTo","@Override public void writeTo(BufferedSink sink) throws IOException","0","-","-","-","-"
"18","sink","public Sink sink(Sink sink)","0","-","-","-","-"
"19","write","@Override public void write(Buffer source, long byteCount) throws IOException","0","-","-","-","-"
"20","close","@Override public void close() throws IOException","0","-","-","-","-"
"21","update","void update(long bytesWritten, long contentLength, boolean done);","0","-","-","-","-"
"22","run","public void run() throws Exception","0","-","-","-","-"
"23","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"24","CustomCipherSuites","public CustomCipherSuites() throws GeneralSecurityException","0","-","-","-","-"
"25","configureSocket","@Override protected SSLSocket configureSocket(SSLSocket socket) throws IOException","0","-","-","-","-"
"26","defaultSslSocketFactory","/** * Returns the VM's default SSL socket factory, using","0","-","-","-","-"
"27","defaultTrustManager","/** Returns a trust manager that trusts the VM's default certificate authorities. */ private X509TrustManager defaultTrustManager() throws GeneralSecurityException","0","-","-","-","-"
"28","javaNames","private String[] javaNames(List<CipherSuite> cipherSuites)","0","-","-","-","-"
"29","DelegatingSSLSocketFactory","DelegatingSSLSocketFactory(SSLSocketFactory delegate)","0","-","-","-","-"
"30","getDefaultCipherSuites","@Override public String[] getDefaultCipherSuites()","0","-","-","-","-"
"31","getSupportedCipherSuites","@Override public String[] getSupportedCipherSuites()","0","-","-","-","-"
"32","createSocket","@Override public Socket createSocket( Socket socket, String host, int port, boolean autoClose) throws IOException","0","-","-","-","-"
"33","createSocket","@Override public Socket createSocket(String host, int port) throws IOException","0","-","-","-","-"
"34","createSocket","@Override public Socket createSocket( String host, int port, InetAddress localHost, int localPort) throws IOException","0","-","-","-","-"
"35","createSocket","@Override public Socket createSocket(InetAddress host, int port) throws IOException","0","-","-","-","-"
"36","createSocket","@Override public Socket createSocket( InetAddress address, int port, InetAddress localAddress, int localPort) throws IOException","0","-","-","-","-"
"37","configureSocket","protected SSLSocket configureSocket(SSLSocket socket) throws IOException","0","-","-","-","-"
"38","run","public void run() throws Exception","0","-","-","-","-"
"39","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"40","run","private void run()","0","-","-","-","-"
"41","onOpen","@Override public void onOpen(WebSocket webSocket, Response response)","0","-","-","-","-"
"42","onMessage","@Override public void onMessage(WebSocket webSocket, String text)","0","-","-","-","-"
"43","onMessage","@Override public void onMessage(WebSocket webSocket, ByteString bytes)","0","-","-","-","-"
"44","onClosing","@Override public void onClosing(WebSocket webSocket, int code, String reason)","0","-","-","-","-"
"45","onFailure","@Override public void onFailure(WebSocket webSocket, Throwable t, Response response)","0","-","-","-","-"
"46","main","public static void main(String... args)","0","-","-","-","-"
"47","run","public void run() throws Exception","0","-","-","-","-"
"48","onFailure","@Override public void onFailure(Call call, IOException e)","0","-","-","-","-"
"49","onResponse","@Override public void onResponse(Call call, Response response) throws IOException","0","-","-","-","-"
"50","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"51","run","public void run() throws Exception","0","-","-","-","-"
"52","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"53","run","public void run() throws Exception","0","-","-","-","-"
"54","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"55","run","public void run() throws Exception","0","-","-","-","-"
"56","onFailure","@Override public void onFailure(Call call, IOException e)","0","-","-","-","-"
"57","onResponse","@Override public void onResponse(Call call, Response response) throws IOException","0","-","-","-","-"
"58","onFailure","@Override public void onFailure(Call call, IOException e)","0","-","-","-","-"
"59","onResponse","@Override public void onResponse(Call call, Response response) throws IOException","0","-","-","-","-"
"60","main","public static void main(String... args) throws Exception","0","-","-","-","-"
"61","create","@Override public EventListener create(Call call)","0","-","-","-","-"
"62","PrintingEventListener","PrintingEventListener(long callId, long callStartNanos)","0","-","-","-","-"
"63","printEvent","private void printEvent(String name)","0","-","-","-","-"
"64","proxySelectStart","@Override public void proxySelectStart(Call call, HttpUrl url)","0","-","-","-","-"
"65","proxySelectEnd","@Override public void proxySelectEnd(Call call, HttpUrl url, List<Proxy> proxies)","0","-","-","-","-"
"66","callStart","@Override public void callStart(Call call)","0","-","-","-","-"
"67","dnsStart","@Override public void dnsStart(Call call, String domainName)","0","-","-","-","-"
"68","dnsEnd","@Override public void dnsEnd(Call call, String domainName, List<InetAddress> inetAddressList)","0","-","-","-","-"
"69","connectStart","@Override public void connectStart( Call call, InetSocketAddress inetSocketAddress, Proxy proxy)","0","-","-","-","-"
"70","secureConnectStart","@Override public void secureConnectStart(Call call)","0","-","-","-","-"
"71","secureConnectEnd","@Override public void secureConnectEnd(Call call, Handshake handshake)","0","-","-","-","-"
"72","connectEnd","@Override public void connectEnd( Call call, InetSocketAddress inetSocketAddress, Proxy proxy, Protocol protocol)","0","-","-","-","-"
