"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","selectEnvironments","-","1","","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"2","createDynamicTests","-","1","","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"3","createDynamicTest","-","1","","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"4","doCreateDynamicTest","-","1","Body Change","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"5","performComparison","-","1","","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"6","runEnvironment","-","1","","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"7","compareResults","-","1","Body Change","see #47 better reporting oracle results
","64469af902c84e426716d82b0e5bc07fdf0f7df6","Reid Holmes"
"8","main","-","11","Body Change","Fixed heap space issue in mining executions
","640af9b185af89ea568d3201f9f7a932c457f694","Felix Grund"
"9","ThresholdRunner","-","7","","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"10","print","-","7","Signature Change, Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"11","doIt","-","7","Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"12","evaluateConfig","-","7","Signature Change, Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"13","run","-","7","Body Change","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"14","main","-","7","","see #47 update oracle with Shaiful's version and add missing rows to elasticsearch method.
","598e5d4be87b04e181b2e37e09bd4d8e57a686c5","Reid Holmes"
"15","main","-","0","-","-","-","-"
"16","execute","-","0","-","-","-","-"
"17","main","-","1","Body Change","improved stats scripts
","1bc957bfacade3475cad435809528dbf1aff5e7a","Felix Grund"
"18","getSubdirectories","-","1","","improved stats scripts
","1bc957bfacade3475cad435809528dbf1aff5e7a","Felix Grund"
"19","accept","-","1","","improved stats scripts
","1bc957bfacade3475cad435809528dbf1aff5e7a","Felix Grund"
"20","log","-","1","","improved stats scripts
","1bc957bfacade3475cad435809528dbf1aff5e7a","Felix Grund"
"21","main","-","3","Body Change","Fixed heap space issue in mining executions
","640af9b185af89ea568d3201f9f7a932c457f694","Felix Grund"
"22","execMining","-","4","","work in progress trying to fix heap space
","5646fc7e193ae6438ea8f2c7738ade99fac06a94","Felix Grund"
"23","FunctionSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"24","computeOverallSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"25","getScopeSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"26","setScopeSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"27","getBodySimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"28","getLineNumberSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"29","setBodySimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"30","setNameSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"31","getNameSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"32","setLineNumberSimilarity","-","5","Body Change","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"33","getOverallSimilarity","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"34","toString","-","5","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"35","Commit","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"36","getId","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"37","getCommitTime","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"38","setCommitTime","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"39","setCommitDate","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"40","setAuthorName","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"41","setAuthorEmail","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"42","setCommitMessage","-","4","Body Change","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"43","setName","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"44","getCommitDateAsString","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"45","getAuthorName","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"46","getAuthorEmail","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"47","getCommitMessage","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"48","getName","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"49","getCommitDate","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"50","getCommitNameShort","-","4","","Further bugfixing during empirical analysis. Checkstyle and Flink stubs work now.
","46ec72105cd8cb1803c14b3bb71576c8e5b5ca35","Felix Grund"
"51","getEnvOptional","-","13","","finally got meta changes to work fully as it seems
","96e612d8461035097f815f902f98260fb68e693d","Felix Grund"
"52","StartEnvironment","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"53","getRepositoryService","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"54","getRepositoryPath","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"55","getRepositoryName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"56","setRepositoryName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"57","getRepository","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"58","getGit","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"59","getFilePath","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"60","setFilePath","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"61","getStartCommitName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"62","setStartCommitName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"63","getFunctionName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"64","setFunctionName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"65","getStartCommit","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"66","setStartCommit","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"67","getFunctionStartLine","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"68","setFunctionStartLine","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"69","getFileName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"70","getEnvName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"71","setEnvName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"72","getExpectedResult","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"73","setExpectedResult","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"74","setFileName","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"75","setBaseline","-","5","Signature Change, Body Change","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"76","getBaseline","-","5","Signature Change, Body Change","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"77","setRepositoryService","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"78","setRepositoryPath","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"79","setOutputFilePath","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"80","getOutputFilePath","-","5","","implemented baseline switch feature
","46dcba42687092d6806a4df3b6f12bde1313849a","Felix Grund"
"81","MethodVisitor","-","0","-","-","-","-"
"82","methodMatches","-","0","-","-","-","-"
"83","getMatchedNodes","-","0","-","-","-","-"
"84","TypeScriptVisitor","-","0","-","-","-","-"
"85","visit","-","0","-","-","-","-"
"86","getSource","-","0","-","-","-","-"
"87","init","-","0","-","-","-","-"
"88","clear","-","0","-","-","-","-"
"89","visit","-","0","-","-","-","-"
"90","isKind","-","0","-","-","-","-"
"91","visitChildren","-","0","-","-","-","-"
"92","visitUnknown","-","0","-","-","-","-"
"93","visitEndOfFileToken","-","0","-","-","-","-"
"94","visitSingleLineCommentTrivia","-","0","-","-","-","-"
"95","visitMultiLineCommentTrivia","-","0","-","-","-","-"
"96","visitNewLineTrivia","-","0","-","-","-","-"
"97","visitWhitespaceTrivia","-","0","-","-","-","-"
"98","visitShebangTrivia","-","0","-","-","-","-"
"99","visitConflictMarkerTrivia","-","0","-","-","-","-"
"100","visitNumericLiteral","-","0","-","-","-","-"
"101","visitBigIntLiteral","-","0","-","-","-","-"
"102","visitStringLiteral","-","0","-","-","-","-"
"103","visitJsxText","-","0","-","-","-","-"
"104","visitJsxTextAllWhiteSpaces","-","0","-","-","-","-"
"105","visitRegularExpressionLiteral","-","0","-","-","-","-"
"106","visitNoSubstitutionTemplateLiteral","-","0","-","-","-","-"
